Rank,Name,Analytical Cornerback Score (ACS),Yards Allowed per Snap,Coverage Snaps per Game,QB Rating Against,Interceptions per Game,Missed Tackle Rate,Slot Coverage Snaps per Game,Coverage Snaps per Reception,Forced Incompletion Rate,Catch Rate Allowed,Penalties per Snap,TDs Allowed per Snap,Tackles per Game
1,James Bradberry,87.9,95.8,80,99.2,86.3,59.6,82.9,99.2,97.5,96.7,82.5,82.5,24.2
2,Patrick Peterson,87.7,85.8,95.8,82.5,97.1,79.2,82.9,89.6,78.3,63.3,44.2,42.5,80.4
3,Sauce Gardner,85.7,97.5,79.2,97.5,63.8,88.3,40.8,100,100,98.3,47.5,87.5,59.2
4,Emmanuel Moseley,85.4,94.2,94.2,91.7,86.3,29.6,82.9,88.3,94.2,47.5,33.3,94.6,73.8
5,Tariq Woolen,80.9,73.3,77.5,89.2,99.6,80.4,51.7,96.3,87.5,80,28.3,33.3,29.2
6,Jaycee Horn,80.2,93.3,60,98.3,92.5,64.2,65,93.3,28.8,65.8,20.8,94.6,45
7,Jamel Dean,78.6,88.3,69.2,75.8,70.8,95.8,47.9,92.1,85.8,94.6,92.5,19.2,47.5
8,Pat Surtain II,78.5,96.7,91.7,66.7,63.8,70.8,25,98.3,53.8,66.7,76.7,53.3,55.8
9,D.J. Reed,78,92.5,85.8,84.2,42.5,64.2,56.7,83.8,65.4,77.1,88.3,78.3,77.9
10,Marlon Humphrey,76.4,80.8,87.5,87.5,79.2,70.8,9.2,82.5,9.6,37.9,53.3,94.6,71.7
11,Tyson Campbell,75.7,95,97.5,60,75.8,21.3,55,86.7,52.5,57.9,90.8,29.6,49.2
12,Darius Slay,75.7,86.7,66.7,73.3,72.9,86.3,62.1,89.6,47.1,77.1,78.3,39.2,33.3
13,Marshon Lattimore,75.4,85,51.7,95,71.7,98.8,30.8,80.4,62.5,82.9,1.7,94.6,70.8
14,Cameron Sutton,73.3,91.7,65,90,83.8,20,16.7,92.1,88.3,93.3,70,38.3,12.5
15,Steven Nelson,73,90,50.8,81.7,47.1,89.2,82.9,86.7,48.3,63.3,91.7,85.8,26.7
16,Jonathan Jones,72.8,70.8,65.8,83.3,95,91.7,18.3,69.6,39.2,88.3,16.7,12.5,64.2
17,Kendall Fuller,71.9,65.8,73.3,65,81.7,66.7,82.9,90.8,70,79.2,73.3,48.3,11.7
18,Casey Hayward Jr.,71.8,71.7,89.2,78.3,79.2,0.8,82.9,86.7,45,75,96.3,66.7,26.7
19,Chidobe Awuzie,71.7,87.5,67.5,96.7,19.2,41.7,82.9,94.6,72.1,99.2,17.5,94.6,72.5
20,Stephon Gilmore,69.6,64.2,76.7,71.7,68.8,86.3,29.2,57.5,75.8,51.7,57.5,76.7,75.4
21,Charvarius Ward,68.7,77.5,72.5,54.2,38.3,97.5,60,75.8,83.8,70.4,25,56.3,83.3
22,Marco Wilson,67,59.2,74.2,74.6,89.6,49.6,36.3,50.4,74.6,60.8,35,28.3,82.5
23,Tre'Davious White,66.5,61.7,62.5,88.3,68.8,47.5,43.3,69.6,92.5,82.9,7.5,75.8,32.5
24,Darious Williams,66.5,84.2,75,77.5,19.2,10,82.9,83.8,98.3,85.8,90,81.7,15.8
