Rank,Name,Analytical Cornerback Score (ACS),Coverage Snaps per Reception,QB Rating Against,Yards Allowed per Snap,Forced Incompletion Rate,Interceptions,Catch Rate Allowed,Missed Tackle Rate,Penalties per Snap,TDs Allowed per Snap,Coverage Snaps,Slot Coverage Snaps,Tackles
1,Charvarius Ward,87.4,84.6,96.1,78.7,91.3,98,85,76.4,18.1,71.7,93.3,67.2,96.9
2,L'Jarius Sneed,86.2,88.2,95.3,90.6,91.3,77.2,90.9,48.8,3.1,81.9,92.8,92.2,98
3,Darious Williams,84,82.7,90.9,73.2,83.5,94.1,69.7,80.7,96.5,79.5,80.6,92.2,72
4,Steven Nelson,82.5,92.9,92.9,59.8,61.8,98,63.8,85.8,83.5,92.9,85.8,78.9,85
5,Jaylon Johnson,78.2,98.4,99.2,98.4,86.6,94.1,95.3,20.9,36.2,88.2,52.6,61.3,25.2
6,Rasul Douglas,76.2,77.2,87.4,74,53.5,98,62.2,68.9,41.7,48,66.6,64.5,62.6
7,Jalen Ramsey,76,95.3,97.6,92.9,15,89,84.3,71.7,33.1,85,35.2,92.2,10.6
8,Tariq Woolen,74.6,73.2,76.4,88.2,87.4,77.2,57.5,78.3,11,55.9,54.4,78.9,62.6
9,Derek Stingley Jr.,73.2,96.1,83.5,81.1,96.9,98,86.6,31.9,92.1,18.9,45.9,92.2,19.3
10,Martin Emerson Jr.,72.7,91.7,96.9,70.9,85.8,94.1,96.9,18.9,14.2,90.6,58.4,69.5,68.1
11,Joey Porter Jr.,72.7,97.6,90.9,89.8,84.3,52.4,97.6,55.9,3.9,89.8,58.2,41.4,41.7
12,Christian Benford,72.3,72,59.8,80.3,72,77.2,25.2,98.4,46.5,74,56.2,84,70.1
13,Brandon Stephens,71.9,45.7,74.8,57.5,13.4,77.2,51.2,68.9,75.6,84.3,97.8,58.6,100
14,Patrick Peterson,70.6,99.2,58.3,95.3,57.5,77.2,89.8,6.7,68.5,44.1,82.4,28.1,33.1
15,Sauce Gardner,69,96.9,84.3,97.6,98,18.5,77.2,25.2,55.1,92.1,61.1,67.2,50.8
16,Kendall Fuller,69,70.9,36.2,84.3,47.2,77.2,33.1,92.9,87.4,21.7,68.2,52.7,90.9
17,Deommodore Lenoir,67.4,36.2,63.8,48.8,20.5,89,24,83.1,53.5,83.5,96,14.8,99.2
18,Marshon Lattimore,67.2,86.6,81.9,81.9,75.6,52.4,70.9,85.8,29.1,82.7,31.8,69.5,41.7
19,DaRon Bland,66.3,55.9,98.4,33.9,35.8,100,81.1,70.1,59.1,59.1,66.1,32.8,78
20,Joshua Williams,66.1,100,85.8,99.2,99.2,18.5,99.2,83.1,73.2,48.8,17.4,76.6,5.5
21,Darius Slay,65.6,55.9,72,56.7,77.6,77.2,47.6,59.1,81.1,75.6,66.4,47.7,88.6
22,D.J. Reed,65.5,68.9,69.3,71.7,68.9,52.4,61.4,75.6,19.7,73.2,54.6,71.9,74.4
23,Marlon Humphrey,65.2,94.5,92.1,93.7,94.5,52.4,90.9,26.4,23.6,80.3,28.8,50.8,14.2
24,Brian Branch,64.8,52,63,77.2,78.7,89,45.3,61.4,21.3,26,56.5,5.5,85
25,Ahkello Witherspoon,64.4,76,80.3,37.8,55.1,89,95.3,10.2,79.5,38.6,78.6,92.2,53.1
26,Paulson Adebo,63.9,55.9,89.8,18.9,98,94.1,78.7,92.9,15,91.3,58.7,47.7,82.3
27,Carrington Valentine,62.7,76,79.1,72.4,24,18.5,82.7,78.3,80.3,89,53.8,64.5,65.7
28,Pat Surtain II,62.4,60.6,51.2,52.8,54.3,52.4,54.7,94.9,48.4,63.4,74.9,49.2,88.6
29,Devon Witherspoon,62.2,74.4,60.6,85,85,52.4,75.2,53.5,42.5,37.4,50.7,18.8,70.1
30,Jack Jones,61.8,93.7,93.7,87.4,30.3,77.2,64.6,13.4,7.9,77.2,19.5,56.3,25.2
31,Mike Hilton,60.4,30.7,81.1,68.5,30.3,77.2,13.4,42.1,85,96.5,54.2,6.3,76.4
32,Michael Carter II,60.2,79.9,86.6,96.1,66.5,18.5,80.3,34.6,91.3,86.6,37.3,9.4,37.4
