Rank,Name,Analytical Score,Yards Allowed per Snap,Coverage Snaps per Game,QB Rating Against,Interceptions per Game,Missed Tackle Rate,Slot Coverage Snaps per Game,Coverage Snaps per Reception,Forced Incompletion Rate,Catch Rate Allowed,Penalties per Snap,TDs Allowed per Snap,Tackles per Game
1,Pat Surtain II,89.9,99.1,94.8,90.5,92.7,98.3,36.2,96.1,64.2,9.9,16.4,83.6,53
2,Derek Stingley Jr.,89.9,95.7,81,99.1,99.1,72.8,75,92.7,84.9,98.3,81,66.4,43.1
3,Quinyon Mitchell,84.7,94.8,89.7,88.8,63.4,58.6,94,89.2,87.9,84.5,73.3,72.4,46.1
4,Christian Benford,83.9,96.6,76.7,82.8,67.2,94,76.3,96.1,81,54.7,42.2,81,55.2
5,Garrett Williams,76,94,53.4,94,77.2,84.1,9.5,83.2,53.4,79.3,93.1,73.3,27.6
6,Christian Gonzalez,75.8,71.6,69,94.8,77.2,93.1,31,58.6,70.7,87.1,72.4,75.9,72.4
7,Kamari Lassiter,75.7,83.6,65.9,98.3,94,31.9,44,96.1,34.5,99.1,70.7,38.8,32.3
8,A.J. Terrell,74.6,93.1,92.2,72.4,72,12.1,69.8,84.5,10.3,34.9,86.2,82.8,57.8
9,Tariq Woolen,74.4,90.5,78.4,73.3,90.1,12.1,64.7,81.5,86.2,86.2,31,13.8,24.1
10,Marlon Humphrey,72.9,77.6,71.6,96.6,97.8,41.4,16.4,49.6,50,61.6,12.9,58.6,79.7
11,Trent McDuffie,72.4,75,93.1,58.6,64.7,89.2,29.3,56.9,75.9,68.5,19,29.3,69
12,Darius Slay,71.7,72.4,67.2,77.6,40.5,87.9,85.3,77.2,94.8,95.3,38.8,44,76.7
13,Jaycee Horn,71.1,86.2,77.6,56.5,53,64.7,86.2,80.2,71.6,89.7,2.6,18.1,31
14,Jamel Dean,71,54.3,94,76.7,60.8,67.2,59.1,64.2,64.2,47.8,56,96.1,98.3
15,Jaylon Johnson,70.2,87.9,62.9,70.7,72,22.8,94,98.3,24.6,59.5,74.1,77.6,29.3
16,Sauce Gardner,69,81,57.8,83.6,53,42.7,50.9,100,100,93.1,6,88.8,13.8
17,Cobie Durant,68.2,88.8,44.8,93.1,77.2,19.4,31.9,81.5,77.2,83.6,83.6,69,6.5
18,DJ Turner II,66.9,84.5,42.2,91.4,19.8,79.3,48.3,87.9,95.7,90.5,43.1,96.1,41.4
19,Darious Williams,64.6,47.8,91.4,62.5,57.8,34.5,94,68.5,51.7,67.2,84.5,74.1,56
20,Zyon McCollum,64.5,44.8,100,57.8,67.2,27.6,56.9,74.1,84.9,76.3,40.5,51.7,87.5
21,Paulson Adebo,64.4,2.6,95.7,95.7,100,70.7,46.1,6.9,89.2,74.1,0,75,100
22,Jaire Alexander,64.1,52.6,60.3,81.9,95.7,17.7,53.4,96.1,58.2,85.3,49.1,23.3,23.3
23,D.J. Reed,63.6,76.7,75,54.3,19.8,56.5,72.4,77.2,92.2,79.3,3.4,71.6,63.4
24,Byron Murphy Jr.,63.4,40.5,96.6,80.6,97.8,24.6,21.6,22.4,20.3,21.1,69.8,50.9,95.7
25,Kader Kohou,62.9,91.4,50,86.2,81,7.8,12.9,46.1,11.2,44,50,67.2,51.3
26,Jakorian Bennett,62.8,97.4,37.9,97.4,19.8,0.9,54.7,91.4,97.4,97.4,36.2,96.1,7.8
27,Jaylen Watson,62.8,66.4,63.8,49.6,19.8,80.2,94,86.2,98.3,82.8,37.9,79.3,79.7
28,Donte Jackson,62.8,56,61.2,87.9,96.6,3.4,60.3,75,12.9,63.8,68.1,36.2,25.4
29,Nate Wiggins,62.6,67.2,56.9,89.7,44,22.8,61.6,78.9,79.3,91.8,21.6,89.7,18.5
30,Jaylon Jones,62.3,31.5,84.5,69.4,72,44.4,87.5,53.9,67.7,50,23.7,90.9,91.8
31,Jaylon Jones,62,31.5,84.5,69.4,72,44.4,80.2,53.9,67.7,50,23.7,90.9,91.8
32,Carrington Valentine,61.8,73.3,27.6,75.4,83.2,50.9,77.6,75.9,31.5,1.7,71.6,96.1,10.3
33,Shaquill Griffin,60.9,64.7,19,85.3,67.2,90.5,49.1,86.2,20.3,88.4,77.6,62.5,33.6
34,Keisean Nixon,60.5,81.9,79.3,37.1,40.5,70.7,23.3,51.3,26.7,40.5,25.9,37.1,87.5
35,Samuel Womack III,59.2,74.1,31.9,27.6,77.2,72.8,82.8,92.7,90.9,62.9,97.4,19,6.5
36,Cam Hart,59.1,82.8,39.7,60.8,19.8,95.7,64.7,40.9,80.2,76.3,15.5,25,39.7
37,Joey Porter Jr.,58.7,46.6,86.2,56.5,44,64.7,39.7,58.6,38.4,36.6,0.9,92.2,83.6
38,Tarheeb Still,58.7,37.1,73.7,80.6,94.8,21.6,25.9,37.9,25.9,44.8,94.4,49.1,81.9
39,Marshon Lattimore,58.7,85.3,68.1,22.4,19.8,51.7,56,99.1,96.6,70.7,6.9,56.9,71.1
40,Trevon Diggs,58.6,58.6,70.7,62.5,87.5,2.6,43.1,51.3,55.6,50,30.2,33.2,34.5
41,Jalen Ramsey,57.6,68.1,72.4,47.4,72,8.6,30.2,71.6,46.6,19.4,51.7,78.4,29.3
42,Mike Sainristil,57.4,36.2,65.9,65.5,90.1,46.6,32.8,35.3,62.9,61.6,80.2,22.4,94.8
43,Avonte Maddox,57,98.3,0.9,87.1,19.8,84.1,26.7,83.2,42.7,95.3,10.3,63.8,0.9
44,Stephon Gilmore,57,56.9,88.8,34.9,48.3,61.6,40.5,35.3,40.1,42.2,53.4,27.6,68.1
45,Mike Jackson,56.9,25.9,81.9,37.9,72,70.7,87.5,33.2,87.1,38.8,55.2,45.7,89.7
46,Sean Murphy-Bunting,56.4,62.1,34.5,79.3,90.1,6,94,48.3,23.3,17.2,4.3,56,35.3
47,Kendall Fuller,56.3,65.5,46.6,49.6,19.8,75.4,94,65.9,51.7,56.9,87.1,84.5,85.3
