Rank,Name,Analytical Interior Defensive Lineman Score (AIS),Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
1,Aaron Donald,93.8,100,96.9,100,81.6,100,95.9,98,79.1,77.6,83.7,78.6
2,Javon Hargrave,85.5,99,95.9,83.7,83.7,99,72.4,96.9,51,57.7,41.8,66.3
3,Jonathan Allen,84.9,98,94.9,84.7,99,98,64.3,99,18.9,60.2,41.8,56.1
4,Cameron Heyward,83.9,86.7,88.8,98,45.9,92.9,99,89.8,64.8,85.7,95.9,70.4
5,Kenny Clark,82.3,94.9,98,94.9,89.8,44.9,61.2,95.9,64.8,64.3,41.8,75.5
6,Chris Jones,79.7,96.9,100,91.8,67.3,93.9,36.7,100,72.4,15.3,41.8,14.3
7,Dexter Lawrence,78.9,84.2,89.8,78.6,91.8,39.8,93.9,88.8,40.3,71.4,86.7,74.5
8,Jeffery Simmons,78.1,85.7,81.6,99,28.6,96.9,65.3,86.7,83.7,84.7,41.8,98
9,Daron Payne,78,82.7,77.6,88.8,74.5,63.3,84.7,80.6,59.2,88.8,41.8,93.9
10,DeForest Buckner,77.2,93.9,64.3,95.9,80.6,89.8,71.4,76.5,7.1,66.3,41.8,61.2
11,Ed Oliver,76.9,87.8,78.6,63.3,98,78.6,20.4,91.8,95.9,79.6,41.8,94.9
12,Vita Vea,75.6,91.3,85.7,77.6,86.7,76.5,8.2,90.8,40.3,87.8,41.8,91.8
13,Fletcher Cox,73.3,91.3,83.7,85.7,50,49,78.6,74.5,83.7,20.4,89.8,34.7
14,Quinton Jefferson,72.2,72.4,82.7,74.5,94.4,85.7,30.6,93.9,9.7,53.1,91.8,46.9
15,Christian Barmore,71.8,95.9,99,58.2,87.8,31.6,18.4,94.9,34.2,89.8,41.8,83.7
16,Arik Armstead,71.6,89.3,87.8,93.9,24.5,88.8,67.3,82.7,13.8,54.1,41.8,48
17,Quinnen Williams,71.3,78.6,76.5,65.3,42.9,94.9,63.3,83.7,68.9,86.7,41.8,87.8
18,Dre'Mont Jones,71.1,92.9,79.6,76.5,73.5,73.5,16.3,84.7,83.7,24.5,41.8,22.4
19,Leonard Williams,70.4,56.1,63.3,96.9,71.4,82.7,87.8,70.4,18.9,83.7,41.8,73.5
20,Matt Ioannidis,70.4,81.1,68.4,60.2,95.9,68.4,44.9,78.6,79.1,45.9,41.8,53.1
21,Christian Wilkins,69.4,64.3,46.9,59.2,90.8,77.6,91.8,65.3,68.9,95.9,41.8,89.8
