Rank,Name,Analytical Score,Pass Rush Win Rate,Hurries per Snap,Pass Snaps/Game,Hits per Snap,Sacks per Snap,Run Snaps/Game,Pressures per Snap,Average Depth of Tackle,Tackles per Snap,Forced Fumbles per Snap,Stops per Snap
1,Chris Jones,88.1,100,99,99,85.1,95,59.4,100,79.7,26.7,95,23.8
2,DeForest Buckner,86.7,93.1,86.1,89.1,87.1,88.1,90.1,92.1,68.8,78.2,47,91.1
3,Dexter Lawrence,86.6,98,75.2,90.1,100,83.2,99,97,35.1,88.1,47,73.3
4,Aaron Donald,86.2,99,90.1,98,65.3,73.3,83.2,87.1,79.7,97,47,99
5,Cameron Heyward,85.2,96,92.1,85.1,77.2,97,69.3,96,44.1,93.1,47,96
6,Jonathan Allen,83.3,84.2,78.2,88.1,68.3,87.1,82.2,81.2,94.6,92.1,97,97
7,J.J. Watt,80.3,87.6,64.4,94.1,88.1,98,70.3,91.1,98,15.8,47,39.6
8,Leonard Williams,80.1,90.1,69.3,86.1,97,55.4,98,86.1,57.9,48.5,99,42.6
9,Quinnen Williams,79.9,94.6,72.3,76.2,96,100,60.4,98,39.6,59.4,47,44.6
10,Dre'Mont Jones,77.3,92.1,94.1,96,39.6,84.2,88.1,85.1,24.3,51.5,47,46.5
11,Javon Hargrave,75.1,97,100,74.3,43.1,96,40.6,99,20.8,74.3,47,45.5
12,Maliek Collins,74.6,89.1,98,61.4,54.5,65.3,57.4,90.1,97,57.4,47,78.2
13,Dalvin Tomlinson,73.8,91.1,68.3,70.3,78.2,51.5,72.3,71.3,86.6,67.3,47,83.2
14,Matt Ioannidis,73.6,85.1,93.1,79.2,83.2,12.9,96,83.2,68.8,40.1,47,27.7
15,Jeffery Simmons,72.9,77.2,84.2,100,44.6,76.2,56.4,76.2,94.6,24.8,47,51.5
16,Daron Payne,72.7,62.4,55.4,92.1,67.3,94.1,91.1,74.3,86.6,44.6,47,70.3
17,Grady Jarrett,71.9,74.8,67.3,84.2,80.2,81.2,97,79.2,16.3,33.7,47,29.7
18,Vita Vea,71.1,87.6,79.2,71.3,70.3,93.1,38.6,88.1,48.5,20.8,47,28.7
19,DJ Reader,70.7,73.3,89.1,64.4,92.1,14.9,55.4,89.1,68.8,96,47,95
20,Kenny Clark,70.7,78.7,88.1,78.2,64.4,59.4,87.1,84.2,28.7,41.6,47,12.9
21,Ed Oliver,70.6,71.3,48.5,82.2,95,66.3,30.7,73.3,74.3,82.2,100,79.2
22,Morgan Fox,70.5,86.1,95,53.5,58.4,90.1,27.7,93.1,28.7,86.1,47,61.4
23,Osa Odighizuwa,69.7,81.2,82.2,52.5,63.4,71.3,49.5,80.2,89.1,56.4,47,85.1
24,Derrick Brown,69.6,83.2,66.3,87.1,74.3,9.9,92.1,59.4,62.4,68.3,47,81.7
25,DeMarcus Walker,68,69.3,70.3,34.7,94.1,99,3.5,95,91.6,83.2,47,90.1
26,Zach Allen,67.8,64.4,24.8,95,98,78.2,64.4,63.4,91.6,35.6,47,41.6
27,Arik Armstead,67.3,81.2,91.1,75.2,75.2,42.6,39.6,82.2,44.1,22.8,47,24.8
28,DaQuan Jones,64.8,78.7,41.6,77.2,76.2,61.4,33.7,51.5,86.6,72.3,47,64.4
29,Jarran Reed,64.8,70.3,49.5,58.9,89.1,57.9,71.3,68.3,20.8,69.3,98,60.4
30,Roy Robertson-Harris,64.7,56.9,61.4,68.3,72.3,50.5,76.7,62.4,79.7,76.2,47,81.7
31,Teair Tart,64,81.2,80.2,43.6,60.4,41.6,28.7,69.3,96,84.2,47,87.1
32,David Onyemata,63.5,76.2,83.2,56.4,50.5,75.2,63.4,77.2,24.3,27.7,47,35.6
33,Fletcher Cox,63.3,66.8,56.4,73.3,82.2,89.1,41.6,75.2,16.3,31.7,47,22.8
34,Calais Campbell,62.9,74.8,40.6,80.2,90.1,79.7,12.9,66.8,6.9,79.2,47,48.5
35,DaVon Hamilton,62.1,64.4,73.3,46.5,51.5,48.5,62.4,64.4,57.9,94.1,96,92.1
36,B.J. Hill,61.5,48,42.6,93.1,84.2,49.5,76.7,52.5,12.4,90.1,47,63.4
37,Quinton Jefferson,60.4,56.9,97,49.5,69.3,85.1,23.8,94.1,28.7,5,47,7.9
38,Christian Wilkins,59.5,51.5,34.7,97,19.8,60.4,94.1,29.7,84.2,99,47,100
39,Shelby Harris,59.4,68.3,87.1,64.4,33.7,31.7,36.6,66.8,53,81.2,47,88.1
40,Larry Ogunjobi,58.7,52.5,57.4,64.4,86.1,30.7,47,60.4,57.9,74.3,47,77.2
41,Zach Sieler,57.9,27.2,28.7,91.1,57.4,69.3,84.2,41.6,57.9,89.1,94.1,93.1
42,Sheldon Rankins,57.9,56.9,63.4,50.5,48.5,74.3,52.5,61.4,35.1,91.1,47,76.2
43,Bilal Nichols,56.9,72.3,39.6,81.2,71.3,23.8,80.2,42.6,44.1,13.9,47,11.9
44,Nathan Shepherd,56.7,94.6,45.5,15.8,93.1,56.4,22.8,65.3,16.3,70.3,47,40.6
45,D.J. Jones,56.2,64.4,96,60.4,10.9,34.7,34.7,70.3,68.8,49.5,47,84.2
46,Alim McNeill,56,59.4,62.4,69.3,53.5,10.9,93.1,50.5,68.8,21.8,47,36.6
47,Nnamdi Madubuike,55.7,54,59.4,66.3,34.7,77.2,32.7,54.5,62.4,63.4,47,66.3
48,Dean Lowry,53.6,48,76.2,19.8,79.2,28.7,79.2,72.3,53,47.5,47,31.7
49,Justin Jones,50.9,30.2,52.5,62.4,47.5,47.5,85.1,48,68.8,43.6,47,47.5
50,Poona Ford,49.6,66.8,47.5,41.6,55.4,53.5,75.2,49.5,3,7.9,47,6.9
51,Adam Gotsis,46,36.1,36.6,4,99,91.1,3.5,78.2,91.6,5.9,47,18.8
52,Lawrence Guy Sr.,45.9,18.3,71.3,39.6,17.8,72.3,78.2,55.4,48.5,53.5,47,50.5
53,Al Woods,45.8,38.6,85.1,9.9,4.5,67.8,45.5,58.4,79.7,71.3,47,75.2
54,Harrison Phillips,44.8,42.6,43.6,54.5,46.5,26.7,73.3,37.6,6.9,55.4,47,56.4
55,Taven Bryan,44.8,40.6,53.5,55.4,24.8,63.4,66.3,43.6,39.6,1,47,2
56,Isaiah Buggs,44.3,42.6,21.8,57.4,81.2,11.9,95,28.7,16.3,18.8,47,15.8
57,Malcolm Roach,44.3,61.4,81.2,14.9,49.5,5,20.8,57.4,16.3,65.3,47,62.4
58,Folorunso Fatukasi,43.8,50,74.3,36.6,13.9,64.4,29.7,56.4,6.9,32.7,47,34.7
59,Ta'Quon Graham,43.8,27.2,10.9,72.3,91.1,5,67.3,27.7,35.1,58.4,47,57.4
60,Sebastian Joseph-Day,43.7,14.9,23.8,67.3,35.6,46.5,86.1,25.7,79.7,61.4,47,80.2
61,Andrew Billings,43.2,56.9,25.7,31.7,18.8,54.5,74.3,23.8,44.1,74.3,47,74.3
62,Kevin Givens,42.4,54,46.5,32.7,16.3,70.3,15.8,39.6,79.7,28.7,47,38.1
63,Grover Stewart,42.3,9.9,17.8,58.9,29.7,57.9,100,20.8,79.7,80.2,47,68.3
64,Kentavius Street,42.2,42.6,32.7,37.6,37.6,92.1,31.7,48,53,4,47,5
65,Davon Godchaux,42,36.1,44.6,44.6,12.9,38.6,81.2,30.7,28.7,87.1,47,69.3
66,Corey Peters,41.6,45.5,50.5,8.9,52.5,43.6,14.4,45.5,91.6,46.5,47,54.5
67,Broderick Washington,41.2,25.2,51.5,30.7,38.6,45.5,24.8,44.6,48.5,100,47,98
68,Jordan Elliott,40.1,32.7,60.4,48.5,9.9,33.7,89.1,38.6,24.3,16.8,47,17.8
69,Milton Williams,39.9,36.1,29.7,18.8,41.6,82.2,5,40.6,44.1,95,47,86.1
70,Akiem Hicks,39.6,44.6,4,51.5,59.4,20.8,47,12.9,74.3,36.6,47,72.3
71,Jerry Tillery,38.5,50,65.3,42.6,28.7,15.8,11.9,46.5,0,42.6,47,30.7
72,Khalen Saunders,37.5,9.9,12.9,35.6,73.3,86.1,10.9,36.6,20.8,85.1,47,71.3
73,DeShawn Williams,37.1,22.3,13.9,47.5,40.6,79.7,37.6,26.7,35.1,37.6,47,53.5
74,Abdullah Anderson,36.9,60.4,54.5,6.9,4.5,37.6,54.5,32.7,31.7,45.5,47,26.7
75,Greg Gaines,36.2,20.8,15.8,83.2,8.9,52.5,61.4,11.9,62.4,10.9,47,21.8
76,Roy Lopez,35.7,9.9,77.2,29.7,30.7,16.8,65.3,53.5,39.6,17.8,47,8.9
77,William Gholston,35.5,39.6,18.8,17.8,62.4,5,50.5,18.8,74.3,52.5,47,58.4
78,A'Shawn Robinson,34.9,25.2,2,40.6,61.4,5,68.3,5.9,35.1,98,47,94.1
79,Mike Purcell,33.5,36.1,20.8,26.7,31.7,19.8,51.5,15.8,53,64.4,47,65.3
