Rank,Name,Analytical Score,Pass Snaps per Game,Sacks per Snap,Pass Rush Win Rate,Run Snaps per Game,Hurries per Snap,Forced Fumbles per Snap,Hits per Snap,Avg Depth of Tackle,Tackles per Snap,Pressures per Snap,Stop %
1,Myles Garrett,86.9,86.1,92.2,100,91.3,97.4,89.6,80.9,81.7,23.5,100,50.9
2,Micah Parsons,86.3,97.4,96.5,99.1,85.2,90.4,79.1,84.3,12.6,65.2,97.4,46.5
3,Nick Bosa,86.2,92.2,86.5,97.8,90.4,93.9,47.8,98.3,60,73,98.3,75.2
4,Trey Hendrickson,83.2,93.9,98.3,97.8,69.6,87,71.3,93,71.7,18.3,94.8,23.9
5,Alex Highsmith,82.5,80.9,80.9,93,93,98.3,56.5,83.5,22.6,93,99.1,82.6
6,Jonathan Greenard,82.4,95.7,66.1,87.8,80,95.7,83.5,60.9,74.8,71.3,93.9,78.7
7,Danielle Hunter,79.9,90.4,77.4,90.4,64.3,77.4,69.6,80,63.9,79.1,86.1,86.1
8,Greg Rousseau,79.6,87,70.4,83.5,68.7,66.5,88.7,93.9,89.1,81.3,83.5,85.2
9,Jared Verse,79.1,89.6,40.9,96.5,86.1,99.1,62.6,81.7,63.9,90.4,96.5,93
10,Will Anderson Jr.,78.9,78.3,100,92.2,51.3,71.3,52.2,73,94.8,67,91.3,78.7
11,Brian Burns,78.7,82.6,63.5,81.7,96.5,83.9,68.7,68.3,63.9,88.7,84.3,87.4
12,Jonathon Cooper,74.7,85.2,90.4,62.6,76.5,78.3,39.1,55.7,53.9,70.4,82.6,82.6
13,T.J. Watt,74.4,98.3,67.8,70,95.7,21.7,98.3,86.1,74.8,53.9,42.6,68.3
14,Josh Hines-Allen,73.5,94.8,59.1,89.6,92.2,86.1,42.6,47,47,47,80.9,35.2
15,Yaya Diaby,72.4,79.1,30.9,93.9,63.5,92.2,40,94.8,93,97.4,92.2,99.1
16,Khalil Mack,71.6,67.8,78.3,82.6,52.2,75.7,81.7,57.4,53.9,75.7,76.5,76.5
17,Carl Granderson,70.9,93,55.7,72.2,72.2,82.6,41.7,22.6,57,92.2,70.4,95.7
18,Maxx Crosby,70,100,52.2,66.5,99.1,61.7,18.7,78.7,98.3,31.3,65.2,50.9
19,Dorance Armstrong,68.7,62.6,82.2,76.1,61.7,60.9,92.2,54.8,57,49.6,60,68.3
20,Travon Walker,68.5,96.5,57.4,60.9,93.9,60,65.2,20.9,43,62.6,47.8,70.9
21,Nik Bonitto,67.2,63.5,97.4,72.2,59.1,72.2,44.3,77.4,47,27.8,90.4,13.5
22,Za'Darius Smith,67.1,70.4,84.3,94.8,27.8,96.5,18.7,44.3,43,67.8,93,30.9
23,D.J. Wonnum,65.8,88.7,54.8,48.7,98.3,80.9,66.1,15.7,1.3,86.1,61.7,38.3
24,Montez Sweat,65.3,58.7,48.3,84.3,65.2,91.3,86.1,49.6,89.1,15.7,87,38.3
25,Josh Sweat,65.3,84.3,68.7,79.6,37.4,76.5,18.7,47.8,13.9,93.9,73,82.6
26,Chase Young,65.2,87.8,40,76.1,54.8,88.7,45.2,75.7,81.7,13.9,88.7,42.6
27,Kayvon Thibodeaux,65.1,91.3,49.6,80.9,89.6,47.8,55.7,76.5,4.3,37.8,53,44.8
28,Jadeveon Clowney,65.1,69.6,53,85.2,83.5,87.8,18.7,40,39.6,64.3,79.1,55.7
29,Kyle Van Noy,64.7,72.2,95.7,57.4,22.6,59.1,78.3,70.4,16.1,57,77.4,59.6
30,Odafe Oweh,64.5,74.8,85.2,74.8,9.6,34.3,48.7,96.5,50.4,91.3,59.1,96.5
31,Rashan Gary,64.5,64.3,74.8,61.7,45.2,64.3,50.4,46.1,63.9,95.7,60.9,97.4
32,Byron Young,63.9,56.5,89.6,57.4,88.7,79.1,38.3,48.7,16.1,48.7,80,16.5
33,Will McDonald IV,63.4,81.7,86.5,60,71.3,73,18.7,78.7,2.6,5.2,85.2,4.8
34,Nick Herbig,62.3,27.8,94.8,88.7,38.3,50.4,100,69.6,81.7,20.9,71.3,35.2
35,Nolan Smith,62.1,50.4,88.7,70,53.9,69.6,74.8,24.3,28.7,59.1,67,30.9
36,Dante Fowler Jr.,62,40.9,91.3,44.3,36.5,81.7,84.3,31.3,76.5,72.2,81.7,57.8
37,George Karlaftis,61.7,99.1,60.9,44.3,78.3,39.1,18.7,100,19.1,46.1,68.7,38.3
38,Andrew Van Ginkel,60,66.1,93.9,47.8,81.7,47,37.4,64.3,5.2,29.6,62.6,13.5
39,Brandon Graham,59.4,24.3,83.5,87,29.6,66.5,82.6,50.4,68.3,60.9,66.1,50.9
40,Arden Key,59.4,73.9,50.4,55.2,87,35.7,75.7,60,77.4,19.1,43.5,30.9
41,Kwity Paye,59.2,75.7,72.2,38.3,82.6,48.7,51.3,20,43,47.8,44.3,50.9
42,Keion White,59.2,73,34.8,66.5,94.8,58.3,70.4,67,26.1,35.7,52.2,20
43,Joey Bosa,59.1,61.7,51.3,78.3,28.7,51.3,91.3,88.7,50.4,40.9,58.3,61.3
44,Leonard Floyd,59,53.9,93,31.3,46.1,57.4,54.8,56.5,43,61.7,67.8,75.2
45,Tuli Tuipulotu,58.7,60.9,79.1,72.2,67.8,44.3,43.5,58.3,43,20,50.4,16.5
46,Chop Robinson,58.6,47,69.6,95.7,21.7,100,18.7,63.5,87,3.5,95.7,4.8
47,Boye Mafe,56.2,60,53.9,50,49.6,93,53.9,40.9,0,73.9,87.8,27.4
48,Zaven Collins,56.1,31.3,73.9,42.2,43.9,68.7,87,13,63.9,94.8,54.8,89.6
49,Isaiah McGuire,54.1,22.6,32.2,59.1,57.4,83.9,99.1,68.3,93.9,39.1,78.3,63.5
50,Laiatu Latu,53.3,55.2,23.5,79.6,53,52.2,93.9,73.9,43,32.2,48.7,40.9
51,Harold Landry III,53.2,71.3,76.5,7.8,97.4,7,18.7,38.3,78.7,57,16.5,77.4
52,K'Lavon Chaisson,52.9,48.7,64.3,67.8,33.9,40.9,61.7,32.2,71.7,44.3,40,65.7
53,Derick Hall,52.7,51.3,80,33,67,49.6,49.6,97.4,9.6,2.6,75.7,1.7
54,Chauncey Golston,51.7,83.5,42.6,33.9,87.8,38.3,18.7,7.8,22.6,69.6,27,73
55,Dayo Odeyingbo,51,76.5,17.4,65.2,80.9,33,18.7,91.3,89.1,7,45.2,16.5
56,Azeez Ojulari,50.6,33.9,99.1,31.3,77.4,40,18.7,43.5,68.3,10.4,57.4,11.3
57,Anfernee Jennings,50.6,52.6,15.7,35.2,100,46.1,40.9,52.6,60,96.5,35.7,93.9
58,Tyree Wilson,50.4,52.6,38.3,42.2,23.5,62.6,60,52.6,71.7,76.5,53.9,89.6
59,Emmanuel Ogbah,50.2,77.4,39.1,11.3,73,29.6,46.1,27,89.1,58.3,27.8,80
60,DeMarcus Walker,50,67,20,52.2,84.3,30.4,18.7,89.6,50.4,53,40.9,68.3
61,Haason Reddick,49.9,65.2,29.6,27,42.6,74.8,73,29.1,81.7,36.5,55.7,50.9
62,Tyquan Lewis,49.1,38.7,20.9,44.3,70.4,45.2,77.4,45.2,74.8,87.8,36.5,91.3
63,Mike Danna,48.9,58.7,48.3,26.1,60,31.3,85.2,36.5,37.4,77.4,33,30.9
64,Darrell Taylor,48.8,20.9,33.9,50,8.7,85.2,95.7,92.2,7,99.1,89.6,92.2
65,Michael Hoecht,47.9,17.4,65.2,46.5,66.1,80,18.7,25.2,35.2,54.8,69.6,63.5
66,Arnold Ebiketie,47.9,43.5,56.5,64.3,12.2,65.2,18.7,65.2,7,81.3,63.5,61.3
67,Dre'Mont Jones,47.5,55.2,13,68.7,50.4,73.9,18.7,90.4,71.7,8.7,72.2,18.7
68,Yetur Gross-Matos,46.8,38.7,61.7,52.2,56.5,53,18.7,39.1,85.2,17,47,7.4
69,Baron Browning,45.7,29.1,19.1,91.3,19.1,89.6,73.9,9.6,50.4,27,64.3,57.8
70,Jalyx Hunt,45.2,25.2,71.3,40.4,11.3,53.9,80,19.1,26.1,78.3,46.1,63.5
71,Arik Armstead,44.4,57.4,7.8,77.4,30.4,63.5,18.7,33.9,47,63.5,41.7,70.9
72,Pat Jones II,44.2,49.6,82.2,22.2,4.3,13,18.7,30.4,68.3,100,20.9,100
73,Felix Anudike-Uzomah,43.2,9.6,75.7,40.4,7,7.8,76.5,66.1,91.3,83.5,24.3,94.8
74,Derek Barnett,42.8,18.3,73,52.2,18.3,18.3,93,29.1,22.6,66.1,25.2,65.7
75,Bryce Huff,42.7,19.6,22.2,86.1,6.1,94.8,87.8,10.9,22.6,34.8,74.8,40
