Rank,Name,Analytical ILB Score (ILS),Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
1,Matt Milano,82.0,73.3,90.9,96.6,78.4,58.0,93.2,97.7,84.1,54.5,89.8,92.6,71.6,83.5,41.5,64.2
2,Fred Warner,81.7,94.3,79.5,90.9,78.4,60.8,81.8,84.1,60.8,87.5,26.1,86.4,83.0,61.9,85.2,91.5
3,Roquan Smith,77.2,85.8,95.5,67.0,48.3,90.9,67.0,83.0,86.4,92.0,23.9,77.8,66.5,81.3,41.5,61.9
4,David Long Jr.,76.8,92.6,87.5,98.9,37.5,33.5,95.5,87.5,13.6,52.3,98.9,98.9,100.0,58.5,41.5,46.0
5,Denzel Perryman,73.1,96.6,98.9,35.2,88.1,39.8,26.1,90.9,28.4,100.0,27.3,60.8,14.8,76.7,41.5,85.8
6,Bobby Wagner,72.7,61.9,85.2,69.3,78.4,88.6,46.6,79.5,76.1,44.3,90.9,86.4,44.3,94.9,41.5,89.8
7,Ja'Whaun Bentley,71.2,80.1,75.0,47.7,93.8,65.9,45.5,94.3,45.5,67.0,60.2,67.6,54.0,96.6,41.5,87.5
8,Tremaine Edmunds,70.7,59.7,69.3,89.8,88.1,53.4,63.6,92.0,60.8,62.5,63.6,64.2,58.0,61.9,41.5,73.9
9,Drue Tranquill,69.2,51.7,83.0,65.9,78.4,75.0,68.2,67.0,88.6,90.9,96.6,10.2,47.2,79.5,41.5,76.1
10,Nick Bolton,69.1,67.6,76.1,100.0,62.5,60.8,40.3,71.6,46.6,85.2,33.5,43.2,20.5,86.4,41.5,59.7
11,Alex Anzalone,66.8,40.3,68.2,80.7,93.8,79.5,72.7,81.8,39.8,60.2,82.4,13.6,77.3,89.8,87.5,96.6
