Rank,Name,Analytical Score,Stop %,INTs per Coverage Snap,Coverage Snaps per Game,Yards per Coverage Snap,Run Snaps per Game,Pressures per Rush,QB Rating Against,Sacks per Rush,Tackles per Run Snap,Pass Rush Win Rate,Avg Depth of Tackle,Hurries per Rush,Pass Rush Snaps,Forced Fumbles per Run Snap,Snaps per Reception
1,Terrel Bernard,74.7,84.7,89.4,70.6,44.1,51.8,78.8,77.1,96.5,78.8,76.5,68.8,58.8,68.8,43.5,71.8
2,Fred Warner,71.7,55.3,91.8,97.6,44.1,38.2,83.5,92.9,74.1,75.3,45.9,77.6,82.4,60.6,91.8,51.8
3,Jeremiah Owusu-Koramoah,71.4,100,85.3,40,60,36.5,65.9,28.2,74.1,71.8,89.4,98.8,75.3,75.3,43.5,46.5
4,Bobby Okereke,71.1,69.4,80,65.3,91.8,92.9,24.7,83.5,32.9,80,38.8,37.1,40,97.6,88.2,92.9
5,Quincy Williams,71.1,97.6,55.3,77.6,60,96.5,42.9,58.8,69.4,65.9,57.1,91.2,17.6,37.1,87.1,19.4
6,Robert Spillane,71,57.6,87.1,83.5,44.1,89.4,96.5,70.6,92.9,31.8,91.8,42.9,92.9,54.7,43.5,78.8
7,T.J. Edwards,69.8,87.1,85.3,85.9,31.2,55.3,41.2,81.2,57.6,72.9,41.2,74.1,3.5,71.8,43.5,23.5
8,Ernest Jones,68.2,87.1,25.3,62.4,85.3,65.9,74.1,74.1,64.7,100,96.5,68.8,88.2,98.8,43.5,82.9
9,Bobby Wagner,67.4,90.6,25.3,89.4,60,95.3,61.2,15.3,71.8,89.4,84.7,84.7,60,76.5,43.5,84.7
10,Foyesade Oluokun,66.5,75.3,52.9,92.9,60,67.1,57.6,48.2,44.7,87.1,74.7,51.2,41.2,87.1,43.5,27.6
11,Lavonte David,65.5,87.1,25.3,94.1,44.1,61.2,70.6,63.5,83.5,69.4,77.6,94.1,80,83.5,43.5,19.4
12,Nate Landman,65.3,98.8,64.7,52.9,31.2,74.1,53.5,42.4,74.1,97.6,10.6,80,38.2,35.3,100,38.2
13,Azeez Al-Shaair,64.1,83.5,25.3,84.7,85.3,88.2,55.3,47.1,28.2,98.8,4.7,55.3,48.2,58.8,43.5,89.4
14,Blake Cashman,62.3,80,62.4,50.6,60,40,48.2,75.3,82.4,57.6,63.5,76.5,10.6,48.2,43.5,27.6
15,Alex Anzalone,61.7,64.7,25.3,90.6,75.3,54.1,87.1,57.6,43.5,95.3,80.6,11.8,71.8,88.8,43.5,68.8
16,Zach Cunningham,61,89.4,25.3,95.3,75.3,20,17.6,78.8,10.6,94.1,27.6,68.8,32.9,50,43.5,61.2
