Rank,Name,Analytical Quarterback Score,Turnover Worthy Throw %,Pressure Sack Rate,Pass TD/G,Hero Throw %,Adj. Comp %,Int/G,Comp. % Over Expected,Rush YPG,YPA,Drop %,Rush TD/G,Fum/G
1,Patrick Mahomes,77.5,57.6,97.0,100.0,63.6,97.0,40.9,97.0,75.8,97.0,75.8,72.7,27.3
2,Joe Burrow,73.6,93.9,37.9,95.5,86.4,87.9,30.3,81.8,60.6,69.7,33.3,87.9,95.5
3,Jalen Hurts,70.6,87.9,24.2,60.6,71.2,81.8,90.9,93.9,93.9,93.9,36.4,100.0,12.1
4,Trevor Lawrence,69.1,90.9,75.8,66.7,30.3,75.8,81.8,71.2,63.6,48.5,81.8,81.8,18.2
5,Lamar Jackson,67.0,77.3,54.5,54.5,90.9,48.5,72.7,66.7,97.0,36.4,86.4,75.8,42.4
6,Justin Herbert,65.9,97.0,87.9,66.7,22.7,90.9,69.7,62.1,45.5,25.8,21.2,9.1,37.9
7,Josh Allen,64.4,18.2,80.3,95.5,100.0,51.5,18.2,81.8,90.9,78.8,93.9,92.4,3.0
8,Aaron Rodgers,62.9,72.7,48.5,72.7,97.0,66.7,40.9,71.2,21.2,33.3,100.0,21.2,62.1
9,Andy Dalton,61.5,81.8,37.9,45.5,43.9,93.9,60.6,100.0,12.1,84.8,86.4,9.1,86.4
10,Tom Brady,60.1,84.8,84.8,66.7,43.9,57.6,75.8,39.4,3.0,12.1,51.5,21.2,62.1
11,Daniel Jones,58.9,77.3,45.5,15.2,6.1,100.0,97.0,75.8,87.9,30.3,66.7,92.4,54.5
12,Jared Goff,57.6,36.4,93.9,80.3,18.2,60.6,87.9,45.5,15.2,81.8,72.7,9.1,62.1
13,Tua Tagovailoa,57.4,24.2,69.7,90.9,81.8,30.3,66.7,81.8,18.2,100.0,54.5,9.1,45.5
14,Geno Smith,57.1,15.2,33.3,84.8,93.9,72.7,57.6,87.9,78.8,75.8,13.6,21.2,37.9
15,Jacoby Brissett,55.6,48.5,60.6,12.1,53.0,54.5,84.8,90.9,66.7,56.1,69.7,57.6,86.4
16,Kirk Cousins,54.1,36.4,57.6,80.3,78.8,63.6,21.2,53.0,24.2,56.1,43.9,48.5,62.1
17,Jimmy Garoppolo,52.2,68.2,51.5,57.6,27.3,36.4,93.9,21.2,9.1,90.9,27.3,63.6,75.8
18,Dak Prescott,52.1,21.2,90.9,87.9,53.0,40.9,0.0,48.5,57.6,63.6,48.5,33.3,80.3
19,Kyler Murray,50.7,62.1,42.4,42.4,10.6,84.8,63.6,53.0,84.8,3.0,59.1,78.8,9.1
20,Ryan Tannehill,50.6,62.1,12.1,24.2,36.4,69.7,78.8,57.6,42.4,87.9,97.0,60.6,80.3
21,Derek Carr,47.2,30.3,80.3,75.8,60.6,21.2,12.1,36.4,30.3,45.5,63.6,9.1,90.9
22,Russell Wilson,44.2,48.5,6.1,21.2,71.2,40.9,34.8,62.1,72.7,66.7,90.9,66.7,51.5
23,Kenny Pickett,42.8,48.5,66.7,3.0,53.0,33.3,47.0,33.3,69.7,6.1,59.1,69.7,30.3
24,Davis Mills,40.0,68.2,72.7,31.8,53.0,9.1,9.1,9.1,33.3,18.2,7.6,54.5,33.3
25,Matt Ryan,34.8,48.5,30.3,39.4,3.0,78.8,6.1,42.4,27.3,21.2,27.3,33.3,22.7
26,Taylor Heinicke,33.4,0.0,63.6,48.5,15.2,15.2,53.0,24.2,48.5,60.6,3.0,42.4,71.2
27,Mac Jones,32.5,36.4,18.2,18.2,71.2,27.3,24.2,27.3,36.4,25.8,39.4,27.3,48.5
28,Marcus Mariota,30.2,27.3,21.2,36.4,10.6,6.1,47.0,15.2,81.8,72.7,13.6,84.8,15.2
29,Justin Fields,29.8,7.6,3.0,31.8,39.4,24.2,34.8,30.3,100.0,51.5,43.9,97.0,0.0
30,Carson Wentz,28.5,7.6,0.0,51.5,86.4,18.2,3.0,12.1,51.5,9.1,78.8,51.5,22.7
31,Matthew Stafford,28.4,12.1,9.1,27.3,71.2,45.5,15.2,18.2,6.1,39.4,18.2,42.4,71.2
32,Baker Mayfield,25.3,48.5,15.2,9.1,22.7,12.1,53.0,6.1,39.4,15.2,27.3,33.3,6.1
33,Zach Wilson,21.0,3.0,27.3,6.1,33.3,3.0,27.3,3.0,54.5,42.4,7.6,42.4,95.5
