Rank,Name,Analytical Quarterback Score (AQS),Comp. % Over Expected,Hero Throw %,Turnover Worthy Throw %,Pressure Sack Rate,Drop %,Rush YPG,Adj. Comp %,Pass TD/G,Rush TD/G,Fum/G,Int/G
1,Lamar Jackson,71.9,100,97,80.3,60.6,16.7,100,84.8,59.1,81.8,19.7,90.9
2,Russell Wilson,70.8,75.8,77.3,71.2,47,74.2,78.8,92.4,84.8,62.1,36.4,78.8
3,Jalen Hurts,68.3,78.8,68.2,80.3,87.9,87.9,93.9,69.7,51.5,98.5,25.8,9.1
4,Brock Purdy,66.4,93.9,84.8,28.8,72.7,97,39.4,72.7,93.9,54.5,50,42.4
5,Dak Prescott,64.2,97,24.2,71.2,36.4,10.6,57.6,97,97,50,83.3,81.8
6,Josh Allen,63.1,72.7,72.7,37.9,97,60.6,87.9,65.2,80.3,98.5,15.2,6.1
7,Jared Goff,61,69.7,57.6,89.4,84.8,43.9,6.1,87.9,87.9,50,57.6,36.4
8,Justin Herbert,59.2,40.9,40.9,54.5,81.8,33.3,69.7,48.5,66.7,66.7,72.7,75.8
9,Geno Smith,59.1,54.5,87.9,18.2,90.9,83.3,45.5,51.5,47,33.3,75.8,62.1
10,Patrick Mahomes,59,84.8,30.3,71.2,93.9,3,81.8,100,75.8,15.2,78.8,13.6
11,Derek Carr,58.4,81.8,63.6,97,47,50,9.1,81.8,54.5,15.2,57.6,84.8
12,C.J. Stroud,56.5,60.6,34.8,89.4,30.3,66.7,48.5,24.2,63.6,62.1,45.5,95.5
13,Justin Fields,53.4,47,81.8,43.9,16.7,74.2,97,45.5,33.3,78.8,30.3,39.4
14,Trevor Lawrence,52.3,66.7,68.2,60.6,51.5,25.8,75.8,59.1,42.4,72.7,39.4,13.6
15,Jake Browning,52.1,36.4,27.3,9.1,21.2,93.9,54.5,78.8,47,86.4,92.4,25.8
16,Kirk Cousins,52.1,87.9,4.5,84.8,75.8,25.8,12.1,92.4,100,15.2,19.7,54.5
17,Jordan Love,51.8,57.6,45.5,48.5,66.7,16.7,60.6,42.4,90.9,69.7,25.8,45.5
18,Tua Tagovailoa,48.8,90.9,90.9,28.8,40.9,74.2,18.2,75.8,80.3,15.2,3,18.2
19,Joe Burrow,48.3,27.3,34.8,51.5,27.3,60.6,36.4,65.2,59.1,15.2,92.4,62.1
20,Matthew Stafford,47.4,30.3,93.9,60.6,63.6,10.6,15.2,36.4,69.7,15.2,92.4,33.3
21,Kyler Murray,46.8,9.1,4.5,93.9,33.3,90.9,84.8,13.6,39.4,90.9,0,54.5
22,Gardner Minshew,46,16.7,50,37.9,57.6,43.9,25.8,27.3,24.2,57.6,92.4,72.7
23,Baker Mayfield,44.6,51.5,15.2,22.7,40.9,60.6,42.4,30.3,72.7,30.3,57.6,66.7
24,Kenny Pickett,43.3,3,40.9,71.2,69.7,83.3,21.2,6.1,6.1,36.4,42.4,95.5
25,Sam Howell,43.3,47,50,9.1,12.1,39.4,63.6,59.1,36.4,75.8,83.3,0
26,Joshua Dobbs,39.3,16.7,18.2,22.7,78.8,33.3,90.9,13.6,27.3,93.9,6.1,30.3
27,Ryan Tannehill,35.5,63.6,57.6,15.2,0,33.3,30.3,54.5,3,43.9,63.6,25.8
28,Desmond Ridder,33.7,33.3,77.3,3,16.7,21.2,51.5,36.4,15.2,86.4,9.1,21.2
29,Will Levis,33.2,40.9,100,0,6.1,6.1,25.8,3,18.2,43.9,33.3,87.9
30,Aidan O'Connell,32,12.1,12.1,43.9,24.2,50,3,19.7,30.3,39.4,68.2,48.5
31,Mac Jones,32,6.1,57.6,9.1,54.5,74.2,33.3,9.1,21.2,15.2,68.2,3
32,Bryce Young,30.9,21.2,9.1,33.3,3,54.5,66.7,19.7,12.1,15.2,50,54.5
33,Zach Wilson,30,24.2,21.2,60.6,9.1,0,72.7,36.4,9.1,15.2,12.1,69.7
