Rank,Name,Analytical Score,Explosive Run %,Attempts per Game,Receiving Yards per Game,Yards Before Contact per Run,Touchdowns per Game,Missed Tackles Forced per Attempt,PFF Pass Blocking Grade,Stuffed Run %
1,Breece Hall,81.8,97,55.2,92.5,91.8,89.6,79.9,80.6,50.7
2,Nick Chubb,79.8,90.3,95.5,59.7,55.2,93.3,95.5,73.1,35.1
3,Saquon Barkley,79.2,77.6,97,76.1,73.1,83.6,55.2,86.6,25.4
4,Christian McCaffrey,73.8,62.7,77.6,100,70.1,93.3,40.3,49.3,67.2
5,Tony Pollard,73.6,94,62.7,81.3,44.8,91,47,97,38.8
6,D'Andre Swift,73.4,92.5,25.4,89.6,86.6,71.6,85.8,94.8,79.1
7,Rhamondre Stevenson,73.3,90.3,65.7,86.6,59.7,45.5,91.8,77.6,32.8
8,Aaron Jones,72.7,70.9,67.2,81.3,83.6,63.4,85.8,47.8,88.1
9,Josh Jacobs,72.1,48.5,98.5,84.3,61.9,88.1,34.3,56.7,91
10,Kenneth Walker,69.5,88.1,82.1,40.3,91.8,78.4,73.1,5.2,4.5
11,Devin Singletary,68,83.6,49.3,68.7,82.1,53,47,89.6,74.6
12,Travis Etienne,67.3,83.6,71.6,73.1,97,35.8,47,5.2,35.1
13,Derrick Henry,66.6,45.5,100,88.1,15.7,97,40.3,79.1,13.4
14,J.K. Dobbins,64.2,95.5,56.7,17.9,89.6,53,55.2,62.7,82.8
15,Cordarrelle Patterson,64.2,80.6,50.7,34.3,70.1,81.3,73.1,64.9,97
16,Miles Sanders,64,53.7,83.6,14.2,98.5,86.6,79.9,28.4,82.8
17,Dalvin Cook,61.1,51.5,88.1,67.2,31.3,74.6,63.4,43.3,18.7
18,Rashaad Penny,60.1,98.5,53.7,9,65.7,61.2,89.6,35.8,56.7
19,Jeffery Wilson,59.2,86.6,47.8,44.8,95.5,53,40.3,5.2,40.3
20,James Conner,59.1,26.9,76.1,79.1,36.6,81.3,28.4,91.8,86.6
21,Tyler Allgeier,58.4,79.1,73.1,31.3,49.3,29.1,63.4,58.2,59
22,Austin Ekeler,57.8,28.4,61.2,98.5,58.2,100,40.3,20.9,16.4
23,James Cook,55.6,100,16.4,41.8,100,18.7,63.4,13.4,89.6
24,Raheem Mostert,54.5,56.7,52.2,50.7,61.9,40.3,73.1,52.2,55.2
25,Khalil Herbert,54.5,66.4,40.3,11.9,80.6,59,91.8,53.7,92.5
26,Jonathan Taylor,54.4,32.8,94,53.7,64.2,47.8,34.3,16.4,26.9
27,Cam Akers,53.9,34.3,68.7,29.1,47.8,70.1,76.1,94.8,61.2
28,Latavius Murray,53,38.8,74.6,38.1,70.1,68.7,20.9,32.8,65.7
29,Joe Mixon,52.9,20.1,80.6,94,24.6,85.1,6.7,26.9,44
30,Kenyan Drake,51.4,83.6,35.8,25.4,85.1,65.7,6.7,37.3,6
31,Dameon Pierce,51.4,38.8,91,52.2,7.5,59,68.7,25.4,28.4
32,Gus Edwards,50.9,74.6,38.8,1.5,74.6,42.5,63.4,64.9,94
33,Najee Harris,50.8,13.4,89.6,56.7,9.7,74.6,68.7,76.1,18.7
34,Alvin Kamara,50.3,15.7,79.1,96.3,42.5,31.3,40.3,11.9,46.3
35,Clyde Edwards-Helaire,49.7,70.9,26.9,62.7,28.4,78.4,55.2,34.3,14.9
36,David Montgomery,49.3,9,70.1,74.6,17.9,53,95.5,59.7,59
37,Jamaal Williams,49,15.7,86.6,10.4,46.3,98.5,11.9,88.1,69.4
38,Ezekiel Elliott,48.6,30.6,85.1,20.9,20.9,95.5,20.9,68.7,41.8
39,Isiah Pacheco,46.9,55.2,44,26.9,79.1,35.8,28.4,23.9,95.5
40,James Robinson,45.8,51.5,44,14.2,55.2,67.2,28.4,100,0
41,Zack Moss,45.2,66.4,29.9,7.5,76.9,4.5,85.8,74.6,48.5
42,Zonovan Knight,44.5,30.6,64.2,61.2,1.5,11.2,100,85.1,1.5
43,Jaylen Warren,43.9,59,9,55.2,76.9,3,79.9,31.3,69.4
44,D'Onta Foreman,42.9,76.1,59.7,6,32.8,35.8,28.4,10.4,31.3
45,Chuba Hubbard,42.8,42.5,21.6,43.3,94,9,47,38.8,85.1
46,Antonio Gibson,42.7,11.9,41.8,84.3,19.4,42.5,20.9,98.5,80.6
47,Leonard Fournette,41.8,10.4,58.2,96.3,24.6,53,11.9,14.9,22.4
48,Damien Harris,41.4,35.8,37.3,32.8,50.7,32.8,34.3,82.1,71.6
49,Michael Carter,40.9,62.7,28.4,71.6,6,18.7,68.7,22.4,9
50,Jerick McKinnon,40.1,42.5,6,91,36.6,74.6,15.7,17.9,10.4
51,Matt Breida,38.9,70.9,3,23.9,52.2,1.5,55.2,83.6,77.6
52,Samaje Perine,38.4,5.2,17.9,70.1,40.3,53,55.2,91.8,64.2
53,Brian Robinson,37.6,20.1,92.5,16.4,9.7,29.1,15.7,41.8,53
54,Eno Benjamin,37.2,59,14.9,58.2,4.5,11.2,79.9,61.2,11.9
55,A.J. Dillon,37.2,25.4,46.3,47,29.9,63.4,11.9,5.2,73.1
56,Boston Scott,35.6,70.9,4.5,4.5,36.6,21.6,85.8,67.2,37.3
57,Darrell Henderson,34.9,45.5,23.9,38.1,24.6,38.8,2.2,71.6,44
58,Kareem Hunt,34.8,38.8,31.3,49.3,3,26.1,55.2,55.2,29.9
59,Rachaad White,32.2,23.9,32.8,65.7,24.6,16.4,6.7,44.8,20.9
60,Chase Edmonds,32.1,48.5,11.2,47,55.2,23.9,2.2,19.4,7.5
61,Caleb Huntley,31.3,62.7,21.6,3,42.5,6,20.9,29.9,76.1
62,Joshua Kelley,30.9,20.1,13.4,29.1,67.2,14.2,55.2,46.3,62.7
63,Melvin Gordon,29,5.2,34.3,77.6,15.7,21.6,20.9,5.2,53
64,Kenneth Gainwell,28.1,2.2,1.5,35.8,88.1,26.1,28.4,40.3,98.5
65,Deon Jackson,27.3,20.1,11.2,64.2,36.6,14.2,6.7,50.7,3
66,Alexander Mattison,24.1,7.5,7.5,19.4,11.9,45.5,98.5,70.1,23.9
67,Mark Ingram,19,2.2,19.4,22.4,13.4,7.5,95.5,5.2,48.5
