Rank,Name,Analytical Running Back Score (ARBS),Explosive Run %,Attempts per Game,Receiving Yards per Game,Yards Before Contact per Run,Touchdowns per Game,Missed Tackles Forced per Attempt,PFF Pass Blocking Grade,Stuffed Run %
1,Christian McCaffrey,89.2,95.6,95.6,98.5,89.0,98.5,79.4,19.1,84.6
2,James Conner,79.0,91.2,90.4,48.5,65.4,82.4,89.7,83.8,79.4
3,Jahmyr Gibbs,77.3,98.5,58.8,76.5,96.3,89.7,84.6,16.2,58.1
4,Kyren Williams,76.8,53.7,100.0,63.2,91.2,97.1,61.0,57.4,95.6
5,Raheem Mostert,76.3,92.6,73.5,42.6,70.6,100.0,79.4,79.4,89.7
6,Isiah Pacheco,75.1,83.8,80.9,66.2,76.5,80.9,32.4,80.9,68.4
7,Saquon Barkley,74.9,77.9,97.1,75.0,39.0,88.2,48.5,92.6,19.1
8,Devon Achane,74.9,100.0,42.6,67.6,100.0,95.6,96.3,5.1,94.1
9,Bijan Robinson,72.1,67.6,60.3,92.6,86.8,66.9,92.6,54.4,33.1
10,Derrick Henry,71.4,88.2,92.6,47.1,25.0,85.3,69.9,95.6,25.0
11,Breece Hall,69.5,77.9,69.1,97.1,34.6,72.1,84.6,51.5,13.2
12,James Cook,68.8,58.8,75.0,88.2,96.3,58.1,41.9,13.2,84.6
13,D'Andre Swift,67.7,72.1,77.9,52.9,89.0,60.3,37.5,42.6,88.2
14,Jaylen Warren,67.2,97.1,39.7,79.4,73.5,39.0,98.5,14.7,91.2
15,Jonathan Taylor,65.7,42.6,94.1,61.8,55.9,92.6,54.4,55.9,49.3
16,Kenneth Walker,65.3,64.7,79.4,64.7,54.4,77.9,96.3,5.1,39.0
17,Najee Harris,65.0,86.0,83.8,33.1,42.6,66.9,61.0,61.0,45.6
18,Tony Pollard,64.1,60.3,82.4,69.1,47.1,58.1,25.7,85.3,58.1
19,Tyjae Spears,63.6,94.1,25.0,82.4,65.4,27.2,61.0,97.1,65.4
20,Khalil Herbert,62.6,81.6,48.5,36.8,92.6,43.4,84.6,48.5,77.9
