Rank,Name,Analytical Score,Sacks per Snap,Interceptions per Snap,QB Rating Against,Snap Count,Forced Fumbles per Snap,Missed Tackle Rate
1,Jordan Poyer,89.1,89.8,90.8,99,86.7,67.3,72.4
2,Kevin Byard,78.8,62.2,89.8,72.4,87.8,90.8,88.8
3,Justin Simmons,77.9,63.3,92.9,90.8,84.7,32.7,63.8
4,P.J. Williams,77.9,98,96.9,93.9,27.6,91.8,2
5,Derwin James Jr.,76.3,93.9,53.1,84.7,65.3,98,63.8
6,Budda Baker,74,83.7,73.5,74.5,83.7,32.7,30.6
7,Taylor Rapp,73.5,82.7,81.6,49,90.8,32.7,85.2
8,Micah Hyde,72.9,60.2,94.9,53.1,91.8,66.3,49.5
9,Antoine Winfield Jr.,72.7,84.7,52,83.7,69.4,95.9,19.9
10,John Johnson III,71,72.4,80.6,73.5,58.2,77.6,53.1
11,Jevon Holland,69.8,95.9,58.2,61.2,55.1,79.6,76
12,Harrison Smith,68.6,91.8,27.6,70.4,78.6,68.4,82.7
13,Vonn Bell,68.6,79.6,39.8,44.9,100,94.9,66.3
14,Quandre Diggs,67.6,29.1,85.7,77.6,99,32.7,49.5
15,Jimmie Ward,67.1,29.1,66.3,91.8,93.9,32.7,99
16,Xavier McKinney,66.7,29.1,88.8,76.5,89.8,32.7,68.4
17,Devin McCourty,66.7,29.1,74.5,98,82.7,32.7,68.4
18,Adrian Phillips,66.4,29.1,87.8,87.8,59.7,76,91.8
19,Xavier Woods,66.2,59.2,64.3,35.7,94.9,87.8,93.9
20,Tyrann Mathieu,65,61.2,70.4,51.5,88.8,32.7,61.2
21,DeShon Elliott,64.6,94.9,79.6,94.9,4.1,32.7,7.7
22,Tashaun Gipson Sr.,64.5,78.6,78.6,75.5,37.8,32.7,38.8
23,Jayron Kearse,63.7,64.3,46.9,66.3,81.6,32.7,98
24,Caden Sterns,62,99,99,50,5.1,32.7,54.1
25,Landon Collins,61.4,92.9,77.6,25.5,38.8,83.7,49.5
26,Adrian Amos,60.7,29.1,72.4,65.3,85.7,32.7,90.8
27,Marcus Williams,60.4,29.1,50,92.9,74.5,71.4,40.3
28,Kyle Dugger,59.4,29.1,93.9,81.6,46.9,32.7,58.7
29,Damontae Kazee,59.2,29.1,56.1,88.8,61.7,93.9,26.5
30,Bobby McCain,58.4,29.1,84.7,64.3,73.5,32.7,32.7
31,Jalen Thompson,58.1,29.1,76.5,59.2,77.6,32.7,77.6
32,Khari Willis,57.3,96.9,83.7,17.3,28.6,32.7,82.7
33,Malcolm Jenkins,57.2,65.3,28.6,54.1,76.5,69.4,49.5
34,Nick Scott,56.9,29.1,91.8,86.7,36.7,32.7,33.7
35,Jeremy Chinn,56.3,67.3,31.6,47.4,70.4,72.4,63.8
36,Terrell Edmunds,55.9,58.2,41.8,33.7,95.9,32.7,63.8
37,Ashtyn Davis,55.1,77.6,71.4,13.3,42.9,99,36.7
38,Minkah Fitzpatrick,55,29.1,44.9,55.1,92.9,65.3,49.5
39,Rodney McLeod,54.8,29.1,69.4,89.8,43.9,32.7,45.9
40,Jamal Adams,54.2,29.1,59.2,85.7,52,32.7,68.4
41,Jordan Whitehead,54,29.1,57.1,71.4,59.7,76,25.5
42,Amani Hooker,53.6,29.1,68.4,67.3,45.9,82.7,41.8
