Rank,Name,Analytical Safety Score (ASS),Sacks per Snap,Interceptions per Snap,QB Rating Against,Snap Count,Forced Fumbles per Snap,Missed Tackle Rate
1,Kyle Hamilton,83.5,89.4,84.6,87.5,83.7,66.3,45.7
2,Antoine Winfield Jr.,80.9,98.1,61.5,54.8,99.0,100.0,85.6
3,Jalen Thompson,74.7,74.0,88.5,68.8,68.3,69.2,80.8
4,Jessie Bates III,72.6,33.2,94.2,67.3,95.2,88.5,82.7
5,Jabrill Peppers,71.1,73.1,54.8,92.3,71.2,68.3,32.2
6,Xavier McKinney,70.7,33.2,66.3,93.3,94.2,63.5,97.1
7,Andre Cisco,69.7,76.0,92.3,55.8,58.7,72.1,35.6
8,Ifeatu Melifonwu,69.2,100.0,83.7,63.9,29.8,78.8,14.4
9,Jason Pinnock,68.8,82.7,52.9,60.6,77.9,81.7,36.5
10,Justin Simmons,68.3,72.1,72.1,53.8,73.1,82.7,49.0
11,Kyle Dugger,67.9,79.8,47.1,50.5,92.3,64.4,74.0
12,Geno Stone,67.8,33.2,99.0,91.3,76.0,30.3,7.7
13,Rayshawn Jenkins,67.4,70.2,48.1,76.0,88.5,30.3,61.5
14,Julian Blackmon,67.3,33.2,87.5,88.5,74.5,30.3,89.9
15,Kerby Joseph,66.5,33.2,86.5,89.4,80.8,30.3,29.8
16,Justin Reid,66.2,96.2,26.0,40.4,100.0,60.6,60.1
17,Tashaun Gipson Sr.,65.6,66.3,26.9,75.0,98.1,61.5,48.1
18,Tyrann Mathieu,65.4,33.2,80.8,76.9,87.5,30.3,67.3
19,Harrison Smith,65.4,87.5,13.0,61.5,91.3,90.4,42.3
20,Camryn Bynum,64.9,67.3,46.2,45.2,93.3,89.4,58.7
21,Jordan Fuller,64.6,33.2,68.3,70.2,81.7,91.3,73.1
22,Marcus Maye,64.6,85.6,91.3,78.8,19.2,30.3,12.5
23,Mike Edwards,64.3,76.9,62.5,79.8,55.8,30.3,11.5
24,Jordan Whitehead,63.9,71.2,82.7,35.6,84.6,30.3,13.5
25,Tre'von Moehrig,63.8,68.3,67.3,38.5,90.4,30.3,71.6
26,Julian Love,62.1,33.2,89.4,56.7,67.3,84.6,56.3
27,D'Anthony Bell,61.2,33.2,100.0,98.1,1.0,98.1,92.3
28,Josh Metellus,60.9,90.4,29.8,21.2,82.7,97.1,75.0
29,Jaquan Brisker,60.3,84.6,33.7,43.3,63.5,87.5,78.4
30,Rudy Ford,59.8,33.2,75.0,99.0,42.3,30.3,84.1
31,Terrell Edmunds,59.6,97.1,55.8,59.6,24.0,30.3,91.3
32,John Johnson III,59.3,33.2,79.8,96.2,36.5,30.3,93.3
33,P.J. Locke,59.0,99.0,50.0,41.3,30.8,95.2,34.6
34,Dane Belton,58.9,93.3,97.1,50.5,7.7,30.3,4.8
35,Tony Adams,58.7,33.2,76.9,80.8,62.5,30.3,28.4
36,Derwin James Jr.,58.3,83.7,30.8,46.2,76.9,30.3,64.4
37,Jordan Battle,58.2,95.2,51.0,57.7,27.9,30.3,84.1
38,Brandon Jones,58.1,33.2,81.7,83.2,32.7,94.2,21.2
39,Dax Hill,58.0,80.8,49.0,17.3,86.5,30.3,81.7
40,Xavier Woods,57.4,33.2,63.5,95.2,53.8,30.3,38.9
41,Talanoa Hufanga,57.1,33.2,93.3,74.0,37.5,30.3,78.4
42,Andrew Wingard,55.3,33.2,71.2,97.1,11.5,92.3,53.8
43,Jordan Poyer,55.2,69.2,13.0,33.7,89.4,76.9,89.9
44,Quan Martin,55.0,88.5,95.2,29.8,14.4,30.3,24.0
45,Grant Delpit,54.7,77.9,40.4,62.5,48.1,30.3,19.7
46,Dee Delaney,54.5,33.2,90.4,94.2,20.2,30.3,3.4
47,Jayron Kearse,54.1,86.5,36.5,34.6,59.6,30.3,62.5
48,Richie Grant,53.1,91.3,32.7,4.8,70.2,83.7,33.7
49,Ji'Ayir Brown,51.9,33.2,96.2,52.4,33.7,30.3,67.3
50,Alohi Gilman,51.5,33.2,57.7,39.4,66.3,93.3,43.8
51,C.J. Gardner-Johnson,51.3,33.2,98.1,85.6,5.8,30.3,6.7
52,Donovan Wilson,51.1,33.2,65.4,52.4,51.0,74.0,38.9
53,Kareem Jackson,51.0,33.2,85.6,66.3,28.8,30.3,50.0
54,Reed Blankenship,50.2,33.2,74.0,30.8,69.2,30.3,69.7
