Rank,Name,Analytical Safety Score (ASS),Forced Fumbles per Snap,Interceptions per Snap,Sacks per Snap,Missed Tackle Rate,QB Rating Against,Snap Count
1,Xavier McKinney,83.2,31.6,97.2,67,88.7,96.2,91.5
2,Jessie Bates III,81.6,98.1,86.8,68.9,43.4,87.7,85.8
3,Brian Branch,77.7,86.8,90.6,72.6,39.6,83,68.9
4,Kerby Joseph,74.1,31.6,99.1,33.5,82.1,88.7,94.8
5,Kyle Hamilton,71.8,80.2,39.6,84.9,28.3,72.6,92.5
6,Jaquan Brisker,71.6,97.2,83,95.3,45.8,92.5,7.5
7,Jaylen McCollough,70.4,31.6,100,91.5,90.6,82.1,14.2
8,Harrison Smith,70.4,31.6,78.3,70.8,62.7,67.9,78.8
9,Calen Bullock,69.5,31.6,92.5,33.5,12.3,97.2,83
10,C.J. Gardner-Johnson,69.4,63.2,93.4,33.5,26.9,69.8,96.2
11,Kevin Byard,69.3,67.9,41.5,88.7,81.1,67,75.5
12,Amani Hooker,68.9,94.3,94.3,33.5,50.9,90.6,57.5
13,Julian Blackmon,68.8,31.6,76.4,69.8,19.8,65.1,84.4
14,Brandon Jones,68.6,68.9,80.2,33.5,57.1,94.3,74.1
15,Jeremy Chinn,66.5,31.6,54.7,82.5,77.8,37.3,98.6
16,Tre'von Moehrig,66.5,31.6,57.5,85.8,79.2,41.5,87.3
17,Derwin James Jr.,66.2,31.6,40.6,100,70.8,51.9,77.4
18,Julian Love,65.9,83,77.4,33.5,75.9,68.9,82.1
19,Marte Mapu,65.8,87.7,63.2,89.6,4.7,79.2,30.2
20,Tyrann Mathieu,65.6,84.9,81.1,33.5,5.7,85.8,70.8
21,Reed Blankenship,65.5,31.6,87.7,33.5,17,81.1,84.4
22,Alohi Gilman,65.3,74.5,50,80.2,17.9,86.8,46.7
23,Coby Bryant,64.9,95.3,88.7,33.5,62.7,80.2,52.8
24,Bryan Cook,64.6,31.6,75.5,33.5,83,75.5,87.3
25,Elijah Molden,64.2,31.6,89.6,33.5,73.6,98.1,50
26,Xavier Woods,62.6,31.6,70.8,33.5,59.4,61.8,100
27,Quan Martin,62,82.1,56.6,33.5,24.5,71.7,90.6
28,Quentin Lake,61.7,31.6,19.3,82.5,54.7,54.2,98.6
29,Damar Hamlin,61.2,31.6,60.4,71.7,52.8,48.1,74.1
30,Ar'Darius Washington,61.2,72.6,69.8,77.4,24.5,41.5,55.7
31,Geno Stone,61.2,31.6,85.4,33.5,11.3,59.9,88.7
32,Taylor Rapp,61.1,71.7,84,33.5,93.9,66,56.6
33,Eric Murray,60.5,31.6,64.2,74.5,36.3,50.5,64.2
34,Nick Cross,60.2,64.2,73.6,33.5,59.4,43.4,93.4
35,Camryn Bynum,59,31.6,79.2,33.5,61.3,59.9,76.4
36,Jordan Howden,59,31.6,85.4,33.5,97.2,91.5,32.5
37,Jaden Hicks,58.7,31.6,95.3,33.5,95.8,84,29.2
38,Josh Metellus,58.6,69.8,61.3,33.5,91.5,61.8,72.6
39,Jabrill Peppers,58.1,96.2,74.5,33.5,80.2,99.1,13.2
40,Dane Belton,57.2,90.1,66.5,90.6,69.8,29.2,24.1
41,Donovan Wilson,56.9,85.8,42.5,99.1,19.8,5.7,69.8
42,Malik Hooker,56.1,31.6,59.4,33.5,64.2,63.2,78.8
43,Tony Adams,54.5,31.6,47.6,78.3,42.5,46.2,51.4
44,Justin Reid,54.3,31.6,55.7,33.5,74.5,38.7,97.2
45,Jalen Mills,53.9,91.5,67.9,33.5,9.4,89.6,22.6
46,Kamren Kinchens,53.4,79.2,96.2,33.5,38.2,41.5,39.6
47,Ashtyn Davis,53.3,31.6,98.1,33.5,68.4,84.9,4.7
48,DeShon Elliott,53,92.5,44.3,33.5,98.1,55.7,61.3
49,Malik Mustapha,52.9,31.6,49.1,33.5,41,93.4,48.1
50,Budda Baker,52.8,67,19.3,87.7,26.9,17.9,80.2
51,P.J. Locke,52.4,66,19.3,86.8,41,14.2,81.1
52,Dell Pettus,52.1,31.6,19.3,92.5,93.9,78.3,11.3
53,Marcus Maye,51.2,31.6,71.7,33.5,19.8,95.3,18.9
54,Ji'Ayir Brown,50.4,31.6,45.3,33.5,32.1,74.5,60.4
55,Will Harris,50.1,31.6,46.2,33.5,45.8,70.8,59.4
56,Jimmie Ward,49.6,31.6,91.5,33.5,87.7,50.5,25.5
57,Justin Simmons,49,31.6,62.3,33.5,3.8,44.3,71.7
58,Jevon Holland,48.8,70.8,19.3,76.4,13.7,34.9,58.5
59,Kamren Curl,48.5,65.1,19.3,67.9,30.2,11.3,89.6
60,Devon Key,48.4,31.6,19.3,98.1,92.5,64.2,1.9
61,Chuck Clark,48.1,75.5,19.3,81.1,54.7,31.1,45.3
62,Isaiah Pola-Mao,47.4,88.7,19.3,75.5,34.4,15.1,63.2
