Rank,Name,Analytical Tight End Score (ATES),First Downs per Route Run,Receiving Yards per Game,Yards per Route Run,Missed Tackles Forced per Reception,Drop Rate,Run Block Grade,Yards per Target Over Expectation,Yards After Catch per Reception,Pass Block Grade,TDs per Route Run,Contested Catch Rate
1,George Kittle,92,94.9,92.3,97.4,97.4,79.5,92.3,94.9,87.2,92.3,89.7,23.1
2,Mark Andrews,87.6,97.4,100,94.9,53.8,82.1,97.4,73.1,30.8,87.2,79.5,76.9
3,Travis Kelce,87.4,92.3,97.4,87.2,100,66.7,69.2,84.6,82.1,79.5,82.1,66.7
4,Dallas Goedert,85.2,100,84.6,100,89.7,3.8,84.6,100,94.9,61.5,69.2,94.9
5,Rob Gronkowski,78.9,87.2,94.9,92.3,93.6,30.8,25.6,66.7,89.7,74.4,87.2,30.8
6,Kyle Pitts,74.6,84.6,87.2,89.7,65.4,42.3,38.5,89.7,51.3,71.8,12.8,41
7,Dalton Schultz,73.2,76.9,79.5,74.4,70.5,69.2,87.2,64.1,35.9,66.7,84.6,35.9
8,Zach Ertz,62.7,76.9,74.4,76.9,29.5,64.1,15.4,28.2,46.2,97.4,53.8,15.4
9,Pat Freiermuth,62.1,89.7,48.7,56.4,84.6,56.4,30.8,35.9,21.8,100,97.4,79.5
10,Darren Waller,61.9,70.5,89.7,84.6,29.5,23.1,6.4,28.2,42.3,89.7,25.6,59
11,Gerald Everett,61.1,66.7,51.3,59,78.2,34.6,48.7,73.1,61.5,94.9,66.7,98.7
12,Hunter Henry,60.8,82.1,59,61.5,16.7,92.3,59,59,5.1,28.2,100,84.6
13,T.J. Hockenson,60.1,76.9,82.1,66.7,42.3,38.5,6.4,50,12.8,59,56.4,91
14,David Njoku,58.6,33.3,43.6,79.5,59,56.4,74.4,73.1,97.4,84.6,71.8,35.9
15,Noah Fant,58.3,55.1,71.8,71.8,47.4,84.6,17.9,61.5,38.5,15.4,48.7,59
16,Dan Arnold,56.9,70.5,64.1,82.1,47.4,25.6,2.6,79.5,74.4,5.1,6.4,5.1
17,Tyler Higbee,56.3,61.5,66.7,34.6,29.5,71.8,66.7,50,42.3,82.1,59,87.2
18,Dawson Knox,54.9,50,69.2,41,70.5,28.2,43.6,82.1,78.2,25.6,94.9,71.8
19,Mike Gesicki,51,64.1,76.9,64.1,23.1,61.5,10.3,19.2,10.3,12.8,15.4,35.9
20,John Bates,50.5,28.2,10.3,43.6,84.6,92.3,100,97.4,100,41,23.1,98.7
21,Durham Smythe,50.1,50,33.3,69.2,7.7,92.3,23.1,92.3,56.4,56.4,6.4,26.9
22,Mo Alie-Cox,49.3,38.5,21.8,53.8,78.2,75.6,89.7,14.1,92.3,53.8,92.3,7.7
23,Cole Kmet,48.9,44.9,61.5,50,53.8,51.3,61.5,28.2,33.3,17.9,6.4,82.1
24,Tyler Conklin,46.5,30.8,53.8,50,29.5,75.6,33.3,55.1,66.7,46.2,28.2,48.7
25,C.J. Uzomah,46.2,23.1,46.2,23.1,93.6,42.3,56.4,87.2,78.2,76.9,61.5,15.4
26,Jared Cook,43.4,55.1,56.4,38.5,35.9,56.4,20.5,19.2,59,2.6,43.6,15.4
27,Kyle Rudolph,43.4,38.5,12.8,46.2,61.5,92.3,53.8,41,69.2,51.3,20.5,48.7
28,Jack Doyle,42.3,59,17.9,30.8,20.5,47.4,94.9,44.9,25.6,69.2,64.1,43.6
29,Foster Moreau,37.8,7.7,38.5,26.9,84.6,47.4,46.2,73.1,84.6,20.5,46.2,15.4
30,Austin Hooper,37,38.5,35.9,26.9,42.3,0,76.9,14.1,64.1,43.6,51.3,91
31,Anthony Firkser,30.7,44.9,25.6,34.6,7.7,17.9,35.9,44.9,7.7,10.3,38.5,71.8
32,Ryan Griffin,30.2,23.1,21.8,17.9,38.5,12.8,82.1,28.2,71.8,30.8,35.9,59
33,Hayden Hurst,30.1,11.5,15.4,15.4,74.4,92.3,51.3,55.1,15.4,7.7,74.4,2.6
34,Adam Trautman,30,23.1,28.2,20.5,7.7,34.6,79.5,28.2,21.8,48.7,41,71.8
35,Ricky Seals-Jones,26.8,15.4,30.8,12.8,65.4,7.7,41,6.4,53.8,64.1,33.3,15.4
36,Evan Engram,21,11.5,41,10.3,16.7,15.4,12.8,10.3,28.2,35.9,30.8,59
37,Tommy Tremble,16.1,5.1,5.1,5.1,53.8,3.8,71.8,6.4,17.9,33.3,17.9,26.9
38,Ian Thomas,15.6,2.6,2.6,2.6,7.7,20.5,64.1,38.5,48.7,38.5,6.4,59
39,Cameron Brate,13.4,17.9,7.7,7.7,7.7,10.3,28.2,2.6,2.6,23.1,76.9,48.7
