Rank,Name,Analytical Tight End Score (ATES),First Downs per Route Run,Receiving Yards per Game,Yards per Route Run,Missed Tackles Forced per Reception,Drop Rate,PFF Run Block Grade,Yards per Target Over Expectation,Yards After Catch per Reception,PFF Pass Block Grade,TDs per Route Run,Contested Catch Rate
1,George Kittle,87.6,87.8,95.6,100,75.6,46.7,100,98.9,97.8,64.4,88.9,17.8
2,Trey McBride,85.6,100,84.4,97.8,71.1,92.2,91.1,71.1,71.1,24.4,52.2,84.4
3,Mark Andrews,81.1,94.4,88.9,93.3,86.7,11.1,73.3,87.8,66.7,66.7,100,41.1
4,Travis Kelce,78.6,97.8,100,95.6,60,22.2,17.8,75.6,62.2,86.7,77.8,24.4
5,T.J. Hockenson,73.9,91.1,97.8,91.1,26.7,60,62.2,42.2,15.6,48.9,75.6,34.4
6,Cole Kmet,73.7,84.4,75.6,86.7,60,83.3,54.4,75.6,30,46.7,91.1,44.4
7,Sam LaPorta,73.5,94.4,86.7,88.9,71.1,36.7,42.2,50,33.3,28.9,97.8,86.7
8,Dallas Goedert,73.4,75.6,75.6,61.1,65.6,77.8,95.6,56.7,77.8,97.8,46.7,72.2
9,Dalton Schultz,71.8,82.2,75.6,73.3,90,77.8,82.2,35.6,45.6,31.1,82.2,20
10,Jake Ferguson,71.5,72.2,80,66.7,78.9,32.2,78.9,80,86.7,73.3,71.1,37.8
11,David Njoku,70.4,55.6,91.1,84.4,93.3,16.7,50,65.6,95.6,54.4,80,55.6
12,Tanner Hudson,66.9,87.8,51.1,80,31.1,92.2,97.8,56.7,20,22.2,28.9,91.1
13,Evan Engram,66.7,72.2,93.3,75.6,53.3,24.4,54.4,50,53.3,35.6,40,77.8
14,Jonnu Smith,65.9,60,64.4,77.8,90,51.1,13.3,84.4,93.3,80,62.2,50
15,Gerald Everett,56.5,77.8,46.7,46.7,96.7,51.1,35.6,23.3,75.6,54.4,68.9,13.3
16,Dalton Kincaid,55.4,48.9,71.1,68.9,60,26.7,58.9,65.6,48.9,6.7,26.7,24.4
17,Darren Waller,55.2,62.2,82.2,82.2,21.1,28.9,11.1,42.2,30,26.7,20,24.4
18,Chigoziem Okonkwo,53.3,51.1,57.8,61.1,65.6,13.3,71.1,42.2,64.4,44.4,17.8,50
19,Tyler Conklin,53.2,40,66.7,57.8,40,77.8,44.4,56.7,35.6,51.1,8.9,72.2
20,Kyle Pitts,52.5,67.8,68.9,64.4,13.3,55.6,4.4,23.3,6.7,84.4,37.8,62.2
21,Michael Mayer,51.1,64.4,28.9,40,82.2,72.2,20,75.6,88.9,20,57.8,81.1
22,Hunter Henry,51,80,53.3,44.4,6.7,42.2,58.9,20,4.4,77.8,93.3,57.8
23,Isaiah Likely,50.5,34.4,33.3,71.1,96.7,4.4,40,98.9,91.1,4.4,95.6,97.8
24,Noah Fant,49.5,26.7,35.6,50,71.1,44.4,78.9,91.1,80,70,8.9,50
25,Tucker Kraft,48.8,53.3,26.7,50,53.3,40,24.4,93.3,100,62.2,48.9,50
26,Luke Musgrave,48,30,60,55.6,21.1,51.1,75.6,68.9,68.9,11.1,24.4,13.3
27,Pat Freiermuth,47.3,44.4,40,35.6,53.3,83.3,50,26.7,51.1,82.2,52.2,65.6
28,Tyler Higbee,44.6,40,62.2,33.3,21.1,16.7,46.7,62.2,73.3,57.8,31.1,60
29,Juwan Johnson,43.3,67.8,48.9,42.2,44.4,36.7,8.9,15.6,17.8,13.3,86.7,72.2
30,Noah Gray,41.7,34.4,22.2,31.1,84.4,72.2,66.7,56.7,60,17.8,44.4,8.9
31,Logan Thomas,41.1,20,55.6,25.6,44.4,32.2,88.9,30,37.8,75.6,60,41.1
32,Durham Smythe,40.5,46.7,31.1,28.9,10,92.2,28.9,87.8,26.7,33.3,8.9,81.1
33,Kylen Granson,40.2,57.8,37.8,53.3,3.3,8.9,22.2,42.2,45.6,42.2,22.2,91.1
34,Colby Parkinson,38.6,30,15.6,37.8,31.1,63.3,93.3,42.2,13.3,60,73.3,91.1
35,Daniel Bellinger,33.9,2.2,17.8,22.2,48.9,92.2,68.9,95.6,82.2,8.9,8.9,13.3
36,Austin Hooper,33.8,24.4,11.1,20,31.1,57.8,31.1,82.2,84.4,100,8.9,34.4
37,Dawson Knox,31.7,40,20,16.7,15.6,67.8,33.3,5.6,40,95.6,64.4,4.4
38,Cade Otton,31.2,15.6,44.4,12.2,36.7,63.3,37.8,30,55.6,15.6,55.6,28.9
39,Tommy Tremble,29.5,15.6,8.9,7.8,100,92.2,15.6,33.3,24.4,37.8,84.4,97.8
40,Adam Trautman,26.6,5.6,6.7,2.2,78.9,67.8,86.7,13.3,57.8,40,66.7,4.4
41,Zach Ertz,22.3,22.2,42.2,25.6,3.3,2.2,26.7,2.2,2.2,2.2,35.6,65.6
42,Connor Heyward,21.2,15.6,4.4,12.2,36.7,6.7,64.4,8.9,42.2,70,8.9,72.2
43,Mike Gesicki,20.5,11.1,13.3,7.8,10,92.2,6.7,5.6,8.9,90,42.2,31.1
44,Hayden Hurst,19.8,8.9,24.4,16.7,21.1,20,2.2,17.8,22.2,90,33.3,4.4
45,John Bates,19,5.6,2.2,4.4,44.4,0,84.4,11.1,11.1,93.3,8.9,97.8
