Rank,Name,Analytical Wide Receiver Score (AWRS),Air Yards,Yards per Route Run,Yards After Catch per Reception,Team TD %,First Downs per Route Run,Contested Catch %,QB Rating When Targeted,Yards per Target Over Expectation,Slot Rate,Receiving YPG,Catch Rate
1,A.J. Brown,68.6,96.5,98.3,93,97.4,90.4,42.2,93,97,65.7,95.7,47
2,Justin Jefferson,68.5,93.9,96.5,74.8,80.9,95.7,80,76.5,91.3,55.7,100,74.3
3,Cooper Kupp,65.2,86.1,94.8,87.8,100,98.3,46.5,71.3,78.3,27,98.3,93
4,Tyreek Hill,64.9,95.7,100,48.7,72.2,99.1,73.9,65.2,87.4,38.3,99.1,72.2
5,Stefon Diggs,64.4,87,93.9,45.2,87.8,97.4,59.1,95.7,81.3,44.3,97.4,74.3
6,Terry McLaurin,63.9,87.8,85.2,73.5,67,82.6,70.4,80.9,89.1,80.9,87.8,58.3
7,Jaylen Waddle,63.1,65.2,95.7,97.4,80.9,93.5,15.2,92.2,98.3,72.6,93,42.6
8,Mike Williams,62.1,84.3,78.3,80,63.9,67.8,78.3,73,83.9,86.1,86.1,65.2
9,Ja'Marr Chase,61.9,92.2,80,69.6,92.6,91.3,40.9,83.5,61.7,78.3,94.8,62.6
10,Amon-Ra St. Brown,61.9,58.7,93,79.1,76.1,100,88.7,80,81.3,22.6,89.6,83.5
11,CeeDee Lamb,61.4,88.7,90.9,61.3,90.4,96.5,62.6,75.7,73.5,15.7,93.9,71.3
12,DeVonta Smith,60.5,76.5,86.1,80.9,84.3,83.9,17.8,87,75.7,67.8,88.7,73
13,Keenan Allen,60.4,69.6,88.7,47.4,73.9,92.2,91.3,77.4,81.3,13.9,91.3,90.4
14,Davante Adams,59.9,98.3,92.2,76.5,99.1,86.1,17.8,73.9,65.2,56.5,96.5,23.5
15,Tee Higgins,59.4,67,77.4,41.7,63.9,69.1,64.3,98.3,91.3,81.7,80,77.4
16,Brandon Aiyuk,59.2,85.2,80.9,66.1,80.9,77.4,25.7,90.4,78.3,75.7,78.3,64.3
17,Christian Watson,58.3,60,90.9,94.8,88.7,89.6,95.7,96.5,67.4,50.9,58.7,37.4
18,Jerry Jeudy,57.9,64.3,87.8,89.1,94.8,71.7,27.4,89.6,86.1,25.7,81.7,61.7
19,Tyler Lockett,57.8,75.7,76.5,28.7,87,74.3,75.7,84.3,78.3,40.4,80.9,85.2
20,Amari Cooper,57.2,94.8,82.6,42.6,98.3,87.8,60,69.6,53,67.8,84.8,30.4
21,DeAndre Hopkins,55,97.4,83.5,13,92.6,83.9,38.7,51.3,44.3,64.3,92.2,67
22,JuJu Smith-Schuster,55,37.4,72.2,90.4,23.5,74.3,91.3,67,94.8,40.4,76.5,95.7
23,Jakobi Meyers,54.6,68.7,81.7,38.3,92.6,80.9,71.3,88.7,67.4,13,74.8,68.3
24,Rashid Shaheed,53.9,29.1,97.4,92.2,32.2,74.3,1.3,99.1,100,67.8,53.5,96.5
25,Mike Evans,53.8,90.4,75.2,20,78.3,70.4,87.4,38.3,57.4,65.7,90.4,36.1
26,DeVante Parker,53.2,61.7,67,43.5,69.1,66.5,72.6,46.1,95.7,93,56.5,57.4
27,Christian Kirk,53,74.8,73.5,57.4,89.6,77.4,53,62.2,70.9,7.8,83.5,55.2
28,Darius Slayton,52.9,70.4,73.5,87,43.9,58.7,56.5,55.7,91.3,60.9,60,51.3
29,Chris Olave,51.3,99.1,89.6,16.1,55.7,88.7,11.3,53,53,47,87,44.8
30,Laviska Shenault,50.3,0.9,99.1,100,18.7,93.5,99.1,86.1,99.1,31.3,14.8,100
31,Isaiah Hodgins,49.8,36.5,53.9,13.9,67.8,79.6,83.5,94.8,75.7,90,43.9,97.4
32,D.J. Moore,48.4,100,75.2,23.9,96.5,77.4,53,41.7,23.5,71.3,70.4,17.4
33,Richie James,48.3,33,62.2,30,80.9,69.1,97.4,93.9,83.9,1.7,43.9,99.1
34,Mecole Hardman,47.6,13.9,45.2,93.9,60.9,40.4,99.1,100,89.1,32.2,47.4,87.4
35,George Pickens,47.4,67.8,42.2,5.2,92.6,37.4,93.9,81.7,61.7,88.3,61.7,34.3
36,Garrett Wilson,47.3,82.6,70.9,59.1,80.9,74.3,30.4,40.9,37.4,43.5,82.6,21.7
37,D.J. Chark,46.9,71.3,50.9,60,47,52.6,83.5,68.7,61.7,69.6,60.9,20.9
38,Kalif Raymond,46.9,31.3,79.1,64.8,4.3,58.7,67.4,74.8,93.5,35.7,45.2,87.4
39,Chris Godwin,46.8,40,68.7,75.7,38.7,79.6,30.4,59.1,61.7,9.6,84.8,86.1
40,Drake London,46.8,78.3,84.3,25.2,73.9,94.8,25.7,32.2,31.3,79.1,67,36.1
41,Allen Lazard,46.5,80,70.9,61.3,76.1,87,13.5,43.5,40.9,42.6,71.3,34.3
42,DK Metcalf,46.3,93,68.7,8.7,63.9,63,51.3,40,20.9,84.3,79.1,44.8
43,Wan'Dale Robinson,45.8,25.7,62.2,85.2,38.7,81.7,75.7,79.1,70.9,4.3,48.7,90.4
44,Terrace Marshall,45.8,51.3,64.3,89.1,21.3,63,9.6,64.3,93.5,93.9,42.6,25.2
45,Michael Pittman,45.2,72.6,47.8,31.3,73.9,63,62.6,39.1,31.3,63.5,75.7,70.4
46,Tyler Boyd,45.2,40.9,42.2,54.8,47,55.7,83.5,67.8,87.4,0.9,62.6,82.6
47,Nico Collins,44.8,79.1,65.2,44.3,63.9,57.4,79.1,33,20.9,95.2,63.9,20
48,Rondale Moore,44.8,29.1,56.5,96.5,25.7,30.4,67.4,63.5,75.7,23.5,68.7,84.3
49,Darnell Mooney,44.7,89.6,60,53.5,47,40.4,96.5,42.6,40.9,20,54.8,59.1
50,Marquise Brown,44,91.3,52.6,37.4,85.7,48.3,89.6,8.7,16.1,45.2,77.4,46.1
51,Jahan Dotson,43.2,63.5,46.5,50,95.7,52.6,38.7,58.3,46.5,70.4,58.7,24.3
52,Zay Jones,42.5,58.7,50.9,40,70.4,63,53,53.9,27.4,48.7,67.8,69.6
53,Brandin Cooks,42.5,81.3,59.1,40,69.1,42.6,21.3,26.5,34.8,72.6,72.2,41.3
54,Olamide Zaccheaus,42.4,42.6,55.2,68.7,57.4,54.8,83.5,82.6,65.2,19.1,32.2,50
55,Treylon Burks,42.2,72.6,66.1,77.4,21.3,56.5,62.6,7,44.3,80,51.7,27
56,Kendrick Bourne,41.4,16.1,58.3,50,13.5,63,83.5,66.1,85.2,60,21.7,88.7
57,Josh Palmer,41.4,50.4,35.7,33.9,38.7,38.3,67.4,60,53,62.2,63.9,79.1
58,Jamal Agnew,41.1,3.5,87,86.1,38.7,85.2,99.1,97.4,34.8,25.7,3.5,90.4
59,Donovan Peoples-Jones,40.4,66.1,49.6,20.9,51.7,27.8,34.8,56.5,57.4,54.8,66.1,43.5
60,Gabe Davis,40,73.9,48.7,17.8,71.3,33.9,15.2,35.7,44.3,97.4,73.9,7
61,Devin Duvernay,38.5,25.7,26.1,58.3,57.4,17.4,75.7,87.8,68.7,50.9,25.2,92.2
62,Deebo Samuel,38.4,25.7,62.2,99.1,24.3,40.4,10.4,22.6,65.2,62.2,65.2,33
63,Courtland Sutton,38,81.3,57.4,2.6,50,52.6,12.2,20.9,20.9,92.2,73,26.1
64,Randall Cobb,37.8,25.7,68.7,82.6,12.2,66.5,36.1,50.4,70.9,6.1,33.9,66.1
65,Corey Davis,37.1,54.8,40.9,36.5,63.9,48.3,50.4,28.7,40.9,82.6,55.7,10.9
66,Curtis Samuel,36.7,22.6,38.3,62.6,53.9,52.6,33.5,57.4,61.7,11.3,50.4,79.1
67,Russell Gage,36.4,11.3,27.8,34.8,77.4,71.7,87.4,85.2,27.4,49.6,35.7,80.9
