Rank,Name,Analytical Wide Receiver Score (AWRS),Yards per Route Run,Receiving YPG,First Downs per Route Run,Air Yards,TDs per Route Run,Yards per Target Over Expectation,Slot Rate,Yards After Catch per Reception,Contested Catch %,QB Rating When Targeted,Missed Tackles Forced per Reception
1,Nico Collins,92.3,99.1,94.6,96.4,70.5,94.6,97.8,84.4,96.0,84.4,99.1,95.5
2,Tyreek Hill,91.4,100.0,100.0,100.0,99.1,100.0,92.9,38.4,79.5,50.4,91.1,92.4
3,Brandon Aiyuk,91.2,98.2,92.9,99.1,92.4,86.6,99.1,75.0,65.2,90.2,97.3,58.9
4,D.J. Moore,87.6,88.4,91.1,89.7,96.4,79.5,89.7,78.6,85.7,83.0,89.7,71.0
5,Justin Jefferson,87.1,97.3,99.1,98.2,94.6,75.0,85.3,61.2,42.9,87.5,77.7,66.5
6,A.J. Brown,86.2,93.8,93.8,94.6,95.5,71.4,79.5,80.4,58.9,73.2,74.1,89.7
7,Amon-Ra St. Brown,85.3,94.6,96.4,97.3,78.6,89.3,89.7,21.9,82.6,82.1,83.9,66.5
8,CeeDee Lamb,84.3,95.5,98.2,93.8,83.9,92.9,85.3,19.6,68.8,47.8,98.2,66.5
9,Mike Evans,83.6,88.4,89.3,83.9,93.8,99.1,71.0,59.8,52.7,92.9,87.5,19.2
10,Puka Nacua,81.3,92.9,95.5,92.9,77.2,62.5,82.6,62.5,90.2,45.5,73.2,56.3
11,Jaylen Waddle,81.0,96.4,88.4,95.5,71.4,65.2,82.6,70.5,87.5,37.1,67.9,72.8
12,DK Metcalf,80.6,81.3,85.3,83.0,91.1,83.9,76.3,92.0,83.9,21.4,63.8,83.0
13,Keenan Allen,79.0,91.1,97.3,89.7,86.6,80.4,64.7,18.8,47.3,70.5,80.4,46.9
14,Ja'Marr Chase,77.7,77.7,90.2,87.1,84.8,68.8,73.2,71.4,74.1,29.5,75.4,85.7
15,Amari Cooper,77.2,90.2,92.0,76.8,88.8,58.9,73.2,76.8,47.3,85.7,43.8,29.9
