Rank,Name,Analytical Score,Yards per Route Run,Receiving YPG,First Downs per Route Run,Air Yards,TDs per Route Run,Yards per Target Over Expectation,Slot Rate,Yards After Catch per Reception,Contested Catch %,QB Rating When Targeted,Missed Tackles Forced per Reception
1,A.J. Brown,93.8,99.1,96.5,99.1,100,89.4,97.3,89.8,74.3,64.6,91.2,95.6
2,Nico Collins,88.7,98.2,97.3,95.6,88.5,88.5,85,76.1,77,83.6,66.4,41.2
3,Ja'Marr Chase,85.1,88.5,100,81.9,81.4,97.3,94.2,46,85.8,54,88.1,76.1
4,Justin Jefferson,84.9,96,99.1,81.9,89.4,82.3,89.4,65,67.3,67.3,76.1,41.2
5,Mike Evans,84.1,96,86.7,96.5,92.9,99.1,67.7,53.1,22.6,95.1,83.6,19.9
6,Chris Godwin,83.3,93.8,95.6,98.2,46.5,93.8,97.3,12.4,91.2,87.6,93.8,79.2
7,Puka Nacua,83.2,100,98.2,100,75.2,48.7,90.3,54,88.5,54,77,82.7
8,Amon-Ra St. Brown,82.3,91.2,89.4,97.3,76.5,96.5,84.1,22.1,54.9,65.5,95.6,65.9
9,Terry McLaurin,81.9,76.1,80.5,84.5,92,98.2,72.1,92.9,41.6,83.6,98.2,32.3
10,Tee Higgins,81.4,72.6,93.4,86.7,86.7,95.6,64.6,82.3,27.4,79.2,94.7,73
11,Brian Thomas,80.9,92,92,79.6,84.1,86.7,87.2,59.3,87.6,16.8,75.2,47.8
12,Ladd McConkey,79.7,92.9,87.6,90.3,69,72.6,95.6,8.8,69,86.7,92.9,88.1
13,DeVonta Smith,78.7,84.1,78.8,89.4,79.6,92,92,16.8,57.5,80.5,92,58.8
14,Malik Nabers,77.3,87.6,94.7,84.5,98.2,69,33.6,66.8,61.1,44.2,58.4,65.9
15,Drake London,77.2,90.3,91.2,94.7,91.2,83.2,46,34.5,26.5,72.6,38.1,82.7
16,Jameson Williams,76.1,80.1,85,69,74.3,75.2,97.3,38.1,93.8,73.5,82.3,47.8
17,Jauan Jennings,75.2,89.4,82.3,92,69.9,71.7,78.3,30.1,19.9,95.1,69,65.9
18,Davante Adams,74.2,78.8,93.4,77,87.6,77.4,55.3,27.4,78.8,43.4,60.2,79.2
19,CeeDee Lamb,70.8,85.8,90.3,81.9,65.5,58.4,72.1,23.9,72.6,45.1,35,94.2
20,Courtland Sutton,69.7,73.5,77.9,86.7,96.9,74.3,22.6,92,9.7,71.7,21.2,8
21,Zay Flowers,69.7,85,77,81.9,73.5,40.7,76.1,35.4,83.2,26.5,67.7,96.5
22,Quentin Johnston,67.5,64.6,58,59.3,64.6,90.3,47.8,98.2,82.3,33.6,83.6,79.2
23,George Pickens,66.6,77.9,79.6,65,96.9,31.9,55.3,77,50.9,33.6,33.6,82.7
24,Alec Pierce,65.8,68.6,64.6,47.3,72.6,80.5,87.2,93.8,32.3,41.2,63.7,25.7
25,Christian Watson,65.7,94.7,50,65,60.2,38.1,94.2,61.9,77.9,83.6,49.6,12.4
26,Jayden Reed,65.5,86.7,62.8,50.9,27.4,78.8,100,6.2,92,95.1,99.1,19.9
27,Darnell Mooney,65.4,70.8,75.7,75.2,82.3,46.9,72.1,29.2,56.6,39.8,57.1,73
28,Adam Thielen,65.2,71.7,74.3,71.2,61.5,81.4,87.2,7.1,21.2,76.1,73.5,8
29,Rashod Bateman,64.9,55.8,54.9,57.1,48.2,91.2,92,99.1,50.9,26.5,97.3,63.3
30,Stefon Diggs,64.1,66.8,75.7,92.9,61.5,59.7,55.3,19.5,49.1,54,72.1,19.9
31,Garrett Wilson,64.1,52.2,81.4,74.3,85.8,57.5,31.4,49.6,63.7,74.3,28.3,92.9
32,Tyreek Hill,63.9,68.6,68.1,86.7,90.3,61.1,33.6,44.2,40.3,16.8,54.9,53.1
33,Jordan Addison,63.8,61.5,71.7,53.1,76.5,85.8,59.7,47.8,32.3,38.9,85.8,47.8
34,Khalil Shakir,63.5,81.4,67.3,73,26.5,52.2,87.2,8,96.5,54,80.5,94.2
35,Romeo Doubs,63.5,63.7,56.6,77.9,63.7,63.7,43.4,95.1,23.9,90.7,53.1,32.3
36,Josh Downs,63.4,82.7,69.9,88.5,31.9,66.4,62.8,0.9,79.6,54,46.9,65.9
37,DK Metcalf,63.2,66.8,83.2,38.1,93.8,44.2,52.7,95.1,47.8,20.4,57.1,53.1
38,Rashid Shaheed,62.9,77,70.8,44.7,99.1,85,24.8,75.2,71.7,4.4,5.3,3.5
39,Jaxon Smith-Njigba,62,65.5,84.1,69,71.7,47.8,67.7,0,70.8,33.6,61.5,69.5
40,Jakobi Meyers,62,61.5,85.8,69,85,31,50,46.9,33.6,83.6,37.2,41.2
41,Keon Coleman,61.7,61.5,51.3,42.9,66.4,64.6,76.1,97.3,94.7,37.2,46,76.1
42,Marvin Mims,61.6,97.3,27.4,47.3,6.2,100,99.1,44.2,100,26.5,96.5,47.8
43,Cooper Kupp,60.7,74.3,72.6,54.4,62.8,84.1,43.4,10.6,53.5,16.8,77.9,47.8
44,Chris Olave,60.5,80.1,61.9,93.8,51.3,23,78.3,60.2,34.5,13.3,64.6,12.4
45,Calvin Ridley,59.9,69.9,73.5,50.9,95.6,34.5,28.3,85,38.9,37.2,16.8,82.7
46,Jerry Jeudy,57.5,58.4,88.5,57.1,80.5,25.7,55.3,42.5,60.2,22.1,36.3,41.2
47,DeAndre Hopkins,55.3,55.8,44.2,78.8,44.7,70.8,28.3,68.1,2.7,77.9,61.5,53.1
48,Marvin Harrison,55.1,50,65.5,57.1,94.7,73.5,13.3,63.7,11.5,31,27.4,12.4
49,Jalen Coker,54.3,55.8,53.1,61.9,38.9,33.6,92,15,73.5,83.6,79.6,41.2
50,D.J. Moore,53.2,41.6,69,33.6,54,42.5,37.2,61.1,85,90.7,55.8,85.4
51,Jaylen Waddle,52.9,50,60.6,63.7,46.5,16.8,79.6,62.8,66.4,54,48.7,41.2
52,Keenan Allen,52.6,40.7,60.6,61.9,78.8,67.3,15,20.8,38.1,63.3,62.8,28.8
53,Allen Lazard,52.3,36.3,54,49.1,42.9,76.1,59.7,32.7,62.8,79.2,72.1,35.8
54,Brandon Aiyuk,51.7,53.5,66.4,66.8,55.8,3.5,35.4,85.8,49.1,69.5,11.5,58.8
55,Olamide Zaccheaus,51.4,61.5,29.2,71.2,9.7,53.1,76.1,23,86.7,54,78.8,85.4
56,Tank Dell,49,46.5,59.3,54.4,68.1,30.1,40.3,65,25.7,41.2,41.6,19.9
57,Devaughn Vele,48.9,51.3,42,73,20.4,54,81.9,9.7,28.3,54,86.7,25.7
58,Michael Pittman,48.1,53.5,63.7,49.1,50,27.4,28.3,69.9,46.9,54,15,32.3
59,Deebo Samuel,47.6,48.7,55.8,38.9,21.2,32.7,81.9,49.6,97.3,11.5,54,91.2
60,Kayshon Boutte,47.2,35.4,46.9,24.8,70.8,29.2,46,96.5,36.3,83.6,44.2,58.8
61,Amari Cooper,47.1,42.5,46,33.6,77.9,56.6,10.2,89.8,15.9,66.4,14.2,41.2
62,Tutu Atwell,46.8,82.7,35.4,91.2,33.2,3.5,64.6,39.8,16.8,13.3,19.5,8
63,Dontayvion Wicks,46.4,47.8,19.5,76.1,41.6,87.6,6.2,49.6,40.3,26.5,15.9,88.1
64,Noah Brown,46.3,58.4,48.7,57.1,56.6,14.2,46,91.2,12.4,10.2,31,12.4
65,Nick Westbrook-Ikhine,45.6,24.8,26.5,29.2,31,92.9,50,86.7,53.5,54,65.5,73
66,KaVontae Turpin,44.9,75.2,22.1,66.8,8.4,46,67.7,5.3,98.2,4.4,29.6,63.3
67,Jalen McMillan,44.9,30.5,38.1,31,42.9,94.7,31.4,66.8,36.3,54,38.9,35.8
68,Diontae Johnson,44.5,43.8,31.9,61.9,59.3,61.9,8.4,79.6,17.7,16.8,2.7,69.5
69,Rome Odunze,44.3,34.5,52.2,36.3,83.2,22.1,12.4,36.3,65.5,95.1,22.1,53.1
70,Marquez Valdes-Scantling,44.2,38.9,24.8,11.9,40.7,77.4,52.7,83.6,99.1,10.2,69.9,32.3
71,Xavier Worthy,43.6,30.5,43.4,44.7,52.2,62.8,19.9,37.2,89.4,19.5,40.3,58.8
72,Christian Kirk,43.2,58.4,58,60.2,67.3,19.5,28.3,2.7,46,4.4,8.8,19.9
73,Darius Slayton,42.7,28.3,40.3,31.9,58.4,18.6,37.2,81.4,43.4,99.1,31.9,91.2
74,Ricky Pearsall,42.2,37.2,40.3,36.3,37.2,49.6,67.7,31.9,31,95.1,35,3.5
75,Calvin Austin,41.3,39.8,34.5,11.9,35.4,50.4,81.9,13.3,61.9,69.5,90.3,28.8
76,Josh Palmer,40,45.1,45.1,46,54.9,8.8,50,51.3,8.8,33.6,42.5,12.4
77,Jalen Tolbert,39.8,23.9,38.9,23.5,38.1,65.5,43.4,57.5,36.3,42.5,74.3,19.9
78,Demario Douglas,37.5,38.1,42,41.6,16.8,28.3,72.1,3.5,80.5,4.4,59.3,58.8
79,Cedric Tillman,37.3,33.2,30.1,26.1,30.1,59.7,24.8,69,44.2,26.5,29.6,76.1
80,Tim Patrick,37.1,26.5,21.2,30.1,23,43.4,59.7,83.6,55.8,26.5,43.4,79.2
81,Greg Dortch,35.6,27.4,13.3,26.1,0.9,54.9,72.1,11.5,95.6,54,85,99.1
82,Jalen Nailor,35.2,19,19.5,27.9,12.4,79.6,81.9,24.8,42.5,4.4,100,19.9
83,Wan'Dale Robinson,35.1,31.9,50,36.3,29.2,26.5,19.9,4.4,52.2,76.1,23,69.5
84,Tyler Lockett,35.1,22.6,37.2,40.3,34.5,13.3,59.7,58.4,15,54,47.8,35.8
85,Mack Hollins,34.8,16.8,15,42.9,28.3,68.1,17.3,55.8,22.6,54,88.1,3.5
86,Michael Wilson,34.2,20.8,36.3,23.5,44.7,37.2,40.3,44.2,14.2,76.1,40.3,19.9
87,Tyler Johnson,33.6,43.8,11.5,16.8,2.7,21.2,64.6,52.2,90.3,88.9,9.7,100
88,Demarcus Robinson,33.4,13.3,28.3,21.2,48.2,69.9,17.3,38.9,10.6,69.5,52.2,12.4
89,Xavier Legette,33.3,25.7,31,33.6,57.5,45.1,7.1,54.9,5.3,8.8,26.5,58.8
90,Ray-Ray McCloud,32.9,33.2,47.8,21.2,17.7,8,72.1,28.3,76.1,21.2,24.8,47.8
91,Dyami Brown,30.9,29.2,10.6,19,5.3,15,59.7,74.3,92.9,4.4,70.8,98.2
92,Brandin Cooks,29.8,9.3,23.9,40.3,53.1,55.8,3.5,70.8,7.1,4.4,8,19.9
93,Adonai Mitchell,29.1,46.5,9.7,52.2,24.8,3.5,5.3,73,64.6,4.4,4.4,3.5
94,Kendrick Bourne,29.1,20.8,23,14.2,15,11.5,59.7,80.5,24.8,54,67.7,19.9
95,Tre Tucker,28.1,6.2,33.6,5.3,50,20.4,11.5,71.7,58.4,63.3,23.9,28.8
96,Gabe Davis,26.4,10.6,17.3,21.2,39.8,39.8,2.7,87.6,8,33.6,3.5,69.5
97,David Moore,26.1,15,14.2,19,25.7,41.6,10.2,73,1.8,54,45.1,28.8
98,Andrei Iosivas,25,5.3,25.7,10.6,23,51.3,40.3,20.8,4.4,37.2,81.4,12.4
99,Parker Washington,23.8,15.9,15.9,17.7,19.5,36.3,19.9,33.6,30.1,4.4,51.3,91.2
100,Troy Franklin,22.9,11.5,5.3,8.4,33.2,35.4,4.4,40.7,81.4,54,12.8,53.1
101,Justin Watson,22.8,4.4,7.1,4.4,15.9,24.8,50,41.6,19.9,95.1,89.4,3.5
102,Van Jefferson,22.4,3.5,4.4,3.5,14.2,23.9,15,77.9,29.2,95.1,50.4,88.1
103,Curtis Samuel,22.1,22.6,8.8,6.2,1.8,17.7,22.6,25.7,75.2,95.1,17.7,73
